,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN,modelYearId,MarketValue
63,Allan Turner,Chevrolet,Spark,2021,3949.0,18158,KL8CB6SA6MC739936,0,2600.0
64,Allan Turner,Ram,ProMaster City,2017,139887.0,18408,ZFBERFAB2H6H01894,0,2600.0
65,Allan Turner,Kia,Sportage,2017,56733.0,18804,KNDPM3AC8H7081331,7557,17645.833333333332
66,Allan Turner,Hyundai,Sonata,2016,58013.0,18959,5NPE34AF1GH335367,7516,15242.5
67,Allan Turner,Hyundai,Santa Fe Sport,2017,72707.0,18977,5NMZU3LB0HH041993,7632,19150.0
68,Allan Turner,Mazda,Mazda3,2018,25892.0,19455,3MZBN1U72JM260208,0,2600.0
69,Allan Turner,Hyundai,Sonata,2018,47029.0,19473,5NPE24AF8JH673486,8220,19606.666666666668
70,Allan Turner,Hyundai,Sonata,2018,37826.0,19744,5NPE24AF9JH685761,8220,19606.666666666668
71,Allan Turner,Hyundai,Tucson,2017,64009.0,19900,KM8J33A47HU475255,7736,17362.5
72,Allan Turner,Chevrolet,Silverado 1500,2014,203434.0,19945,3GCPCREC0EG277828,6649,22434.821428571428
73,Allan Turner,Toyota,RAV4,2015,76200.0,19969,2T3WFREVXFW152955,7125,15679.166666666666
74,Allan Turner,Hyundai,Tucson,2018,66801.0,19989,KM8J3CA43JU745989,8697,18639.583333333332
75,Allan Turner,GMC,Sierra 1500,2013,175983.0,19995,3GTP2VE78DG308501,6436,
76,Allan Turner,Honda,HR-V,2017,62352.0,20294,3CZRU5H73HM719921,7798,
77,Allan Turner,Toyota,Sienna,2015,125158.0,20431,5TDYK3DC2FS662297,7131,18642.85714285714
78,Allan Turner,Kia,Optima,2019,37156.0,20789,5XXGT4L31KG336714,9271,20666.666666666668
79,Allan Turner,Jeep,Renegade,2018,32270.0,20889,ZACCJABB0JPJ59494,8679,18314.285714285714
80,Allan Turner,Ford,Explorer,2016,111466.0,20998,1FM5K7F86GGA98406,7252,22131.25
81,Allan Turner,Lexus,RX,2013,83391.0,21243,2T2ZK1BA8DC120620,6410,
82,Allan Turner,Chrysler,300,2018,90071.0,21534,2C3CCAAG7JH281883,8677,22815.625
83,Allan Turner,Toyota,Sienna,2016,130286.0,21537,5TDYK3DC7GS707056,7549,
84,Allan Turner,Toyota,86,2017,90462.0,21633,JF1ZNAA13H8711250,7654,
85,Allan Turner,Jeep,Renegade,2020,25661.0,21672,ZACNJAAB1LPL66098,0,2600.0
86,Allan Turner,Kia,Niro,2019,46871.0,21795,KNDCB3LCXK5259468,9633,
87,Allan Turner,Buick,Encore,2019,52600.0,21856,KL4CJASB0KB929329,9287,18182.14285714286
88,Allan Turner,Toyota,Corolla,2020,14314.0,21989,5YFEPRAEXLP146707,0,2600.0
89,Allan Turner,Volkswagen,Jetta,2017,29223.0,21989,3VW5T7AJ2HM408695,7777,14900.0
90,Allan Turner,Chrysler,300,2018,61811.0,21994,2C3CCAAG4JH222614,8677,22815.625
91,Allan Turner,Ford,F-150,2014,119581.0,22046,1FTEW1CMXEFA19426,6795,20123.61111111111
92,Allan Turner,Hyundai,Santa Fe Sport,2018,58482.0,22296,5XYZT3LB5JG559777,8278,21216.666666666668
93,Allan Turner,Kia,Soul,2020,16927.0,22503,KNDJ23AU2L7071746,0,2600.0
94,Allan Turner,Hyundai,Sonata,2018,26861.0,22508,5NPE34AB7JH634768,8220,19606.666666666668
95,Allan Turner,Chevrolet,Equinox,2019,64856.0,22637,2GNAXKEV6K6169571,9616,21620.0
96,Allan Turner,Nissan,Rogue,2018,62375.0,22745,5N1AT2MV1JC788540,8478,18752.5
97,Allan Turner,Chevrolet,Camaro,2014,75187.0,22923,2G1FC3D35E9181058,6700,
98,Allan Turner,Chevrolet,Colorado,2018,40327.0,23267,1GCGSBEA6J1211043,8873,28238.095238095237
99,Allan Turner,Nissan,Rogue,2018,40417.0,23425,5N1AT2MT2JC813069,8478,18752.5
100,Allan Turner,Kia,Sportage,2019,54153.0,23443,KNDPN3AC5K7620556,9637,21320.833333333332
101,Allan Turner,Hyundai,Sonata,2019,23993.0,23493,5NPE34AF9KH779752,9823,21662.5
102,Allan Turner,Nissan,Rogue,2019,49645.0,23499,KNMAT2MV1KP546586,9761,20437.5
103,Allan Turner,Nissan,Rogue,2018,84217.0,23643,JN8AT2MTXJW462533,8478,18752.5
104,Allan Turner,Chevrolet,Equinox,2019,47062.0,23793,2GNAXKEV2K6282238,9616,21620.0
105,Allan Turner,Chevrolet,Bolt EV,2019,21882.0,23827,1G1FY6S05K4103793,0,2600.0
106,Allan Turner,Chevrolet,Equinox,2018,61876.0,23874,2GNAXVEV0J6101668,7991,19556.666666666668
107,Allan Turner,Jeep,Compass,2019,28843.0,23888,3C4NJDBB0KT656116,9681,20128.571428571428
108,Allan Turner,Nissan,Rogue Sport,2020,37675.0,23987,JN1BJ1CVXLW540172,0,2600.0
109,Allan Turner,Jeep,Cherokee,2019,38215.0,23994,1C4PJLDB8KD302317,9135,22575.0
110,Allan Turner,Hyundai,Tucson,2018,41131.0,24105,KM8J33A2XJU793259,8697,18639.583333333332
111,Allan Turner,Lexus,RX,2014,59403.0,24498,2T2ZK1BA9EC138321,6902,
