VIN,Dealer,Make,MarketValue,Mileage,Model,Price,Year,modelYearId
JN1BJ1CR2KW334975,Allan Turner,Nissan,19329.166666666668,30818.0,Rogue Sport,15800.0,2019,9316
1GNSCCE0XDR100318,Allan Turner,Chevrolet,17587.5,166913.0,Tahoe,15887.0,2013,6429
WBA3B5C51DF592598,Allan Turner,Bmw,14333.333333333336,59927.0,3 Series,15899.0,2013,6482
5NPE24AF5JH622897,Allan Turner,Hyundai,19606.666666666668,44857.0,Sonata,15936.0,2018,8220
5NPE34AF8HH583438,Allan Turner,Hyundai,17156.81818181818,65382.0,Sonata,15982.0,2017,7737
5NPE24AF5JH616856,Allan Turner,Hyundai,19606.666666666668,34923.0,Sonata,15987.0,2018,8220
KMHD84LF3KU806391,Allan Turner,Hyundai,16163.636363636364,24245.0,Elantra,15997.0,2019,9724
1GNSCJE07DR178026,Allan Turner,Chevrolet,2600.0,129225.0,Suburban 1500,15999.0,2013,0
1G1BE5SM8H7257247,Allan Turner,Chevrolet,13439.285714285714,18115.0,Cruze,16116.0,2017,7612
2GNALCEK0H6248217,Allan Turner,Chevrolet,16450.0,61386.0,Equinox,16131.0,2017,7728
5XXGT4L35JG194432,Allan Turner,Kia,17690.625,33025.0,Optima,16141.0,2018,8227
KM8J23A40HU566385,Allan Turner,Hyundai,17362.5,48733.0,Tucson,16347.0,2017,7736
KM8J23A48HU500442,Allan Turner,Hyundai,17362.5,43858.0,Tucson,16405.0,2017,7736
5NPE34AF8GH312054,Allan Turner,Hyundai,15242.5,24107.0,Sonata,16411.0,2016,7516
ZACCJBBB3HPF62405,Allan Turner,Jeep,16725.0,53870.0,Renegade,16415.0,2017,7742
2C3CDXCT8DH578191,Allan Turner,Dodge,,88461.0,Charger,16474.0,2013,6515
5TELU42N99Z656163,Allan Turner,Toyota,,164710.0,Tacoma,16527.0,2009,5288
5NMZU3LB8JH081499,Allan Turner,Hyundai,21216.666666666668,70008.0,Santa Fe Sport,16536.0,2018,8278
JN1BJ1CRXKW626356,Allan Turner,Nissan,19329.166666666668,34583.0,Rogue Sport,16658.0,2019,9316
KM8J33A22GU176401,Allan Turner,Hyundai,15493.75,59709.0,Tucson,16674.0,2016,7327
3VWC57BU9KM075011,Allan Turner,Volkswagen,20202.08333333333,31393.0,Jetta,16691.0,2019,9173
KM8SN4HF3FU099355,Allan Turner,Hyundai,15350.0,67755.0,Santa Fe,16919.0,2015,7120
5NPE24AF9JH615743,Allan Turner,Hyundai,19606.666666666668,28364.0,Sonata,16934.0,2018,8220
2GNALBEK4H1552500,Allan Turner,Chevrolet,16450.0,37943.0,Equinox,16992.0,2017,7728
1G1ZE5ST4HF105574,Allan Turner,Chevrolet,16730.0,33025.0,Malibu,17058.0,2017,7802
5NPE24AF3JH636040,Allan Turner,Hyundai,19606.666666666668,13463.0,Sonata,17066.0,2018,8220
3C4PDCBBXKT784230,Allan Turner,Dodge,19600.0,17432.0,Journey,17161.0,2019,9677
JA4AD3A30HZ067508,Allan Turner,Mitsubishi,15089.285714285714,25606.0,Outlander,17186.0,2017,7649
1G1BE5SM4H7187634,Allan Turner,Chevrolet,13439.285714285714,7547.0,Cruze,17342.0,2017,7612
5XYZW4LA0FG273928,Allan Turner,Hyundai,,60670.0,Santa Fe Sport,17496.0,2015,7121
KM8J23A48KU912030,Allan Turner,Hyundai,21233.928571428565,51792.0,Tucson,17543.0,2019,9265
5NPE24AF3JH602597,Allan Turner,Hyundai,19606.666666666668,19412.0,Sonata,17580.0,2018,8220
3GNCJLSB0KL385745,Allan Turner,Chevrolet,17854.166666666668,10185.0,Trax,17683.0,2019,9670
2C4RDGCG3KR693328,Allan Turner,Dodge,18091.666666666668,35724.0,Grand Caravan,17779.0,2019,9639
5NPE34AF9HH482814,Allan Turner,Hyundai,17156.81818181818,34629.0,Sonata,17994.0,2017,7737
KNDPN3AC7H7293523,Allan Turner,Kia,17645.833333333332,29920.0,Sportage,17999.0,2017,7557
5TFTX4GN0DX016021,Allan Turner,Toyota,,107985.0,Tacoma,18006.0,2013,6551
1FATP8EMXG5290785,Allan Turner,Ford,24866.66666666667,88764.0,Mustang,18037.0,2016,7502
3GNAXJEV9JS556643,Allan Turner,Chevrolet,19556.666666666668,40750.0,Equinox,18044.0,2018,7991
1C4RJFBG7EC233638,Allan Turner,Jeep,18486.11111111111,101125.0,Grand Cherokee,18091.0,2014,6659
KM8J33A25GU118668,Allan Turner,Hyundai,15493.75,19572.0,Tucson,18141.0,2016,7327
1HGCR2F82GA105723,Allan Turner,Honda,17542.5,60460.0,Accord,18376.0,2016,7435
1GNKRFED7HJ307899,Allan Turner,Chevrolet,22325.0,52373.0,Traverse,18391.0,2017,7732
KM8J33A2XHU322609,Allan Turner,Hyundai,17362.5,76950.0,Tucson,18625.0,2017,7736
1G1ZD5ST8JF108843,Allan Turner,Chevrolet,17780.0,22675.0,Malibu,18900.0,2018,8634
1G6AA5RA6G0167289,Allan Turner,Cadillac,23610.9375,33161.0,ATS,18996.0,2016,7265
2FMPK4K91GBB21989,Allan Turner,Ford,18435.714285714286,35808.0,Edge,19261.0,2016,7504
3GKALWEU9JL307461,Allan Turner,Gmc,20995.454545454544,82693.0,Terrain,19310.0,2018,8056
3CZRU5H3XKM724344,Allan Turner,Honda,20811.11111111111,5566.0,HR-V,19313.0,2019,9623
JA4AZ3A36KZ045618,Allan Turner,Mitsubishi,19643.18181818182,35003.0,Outlander,19357.0,2019,9859
KM8J33A45JU800183,Allan Turner,Hyundai,18639.58333333333,22878.0,Tucson,19479.0,2018,8697
5XYZU3LB3JG541775,Allan Turner,Hyundai,21216.666666666668,31104.0,Santa Fe Sport,19509.0,2018,8278
1HGCR2F57HA180182,Allan Turner,Honda,19629.166666666668,44498.0,Accord,19588.0,2017,7573
5NMZUDLBXHH028738,Allan Turner,Hyundai,19150.0,18932.0,Santa Fe Sport,19672.0,2017,7632
1VWBT7A31HC048616,Allan Turner,Volkswagen,16464.285714285714,12144.0,Passat,19786.0,2017,7776
5XYZW4LA6HG456690,Allan Turner,Hyundai,19150.0,73406.0,Santa Fe Sport,19797.0,2017,7632
1J4HB5H11AL142780,Allan Turner,Jeep,15781.25,115001.0,Wrangler,20043.0,2010,5597
1FM5K7D85GGB31494,Allan Turner,Ford,22131.25,66685.0,Explorer,20329.0,2016,7252
WBA5A5C52GG350557,Allan Turner,Bmw,22293.75,70582.0,5 Series,20464.0,2016,7436
KM8J33A49JU671123,Allan Turner,Hyundai,18639.58333333333,24217.0,Tucson,20494.0,2018,8697
3GNAXJEV1JS636258,Allan Turner,Chevrolet,19556.666666666668,15699.0,Equinox,20674.0,2018,7991
5NMS23AD7KH029102,Allan Turner,Hyundai,26148.214285714286,31113.0,Santa Fe,20992.0,2019,9193
5XYZU3LBXJG550201,Allan Turner,Hyundai,21216.666666666668,29910.0,Santa Fe Sport,21034.0,2018,8278
5NPE34AB3JH614498,Allan Turner,Hyundai,19606.666666666668,39651.0,Sonata,21118.0,2018,8220
5XYZW4LA1HG482453,Allan Turner,Hyundai,19150.0,65015.0,Santa Fe Sport,21183.0,2017,7632
2GKFLPE35H6150545,Allan Turner,Gmc,18433.33333333333,38920.0,Terrain,21275.0,2017,7830
2HGFC1E52HH707475,Allan Turner,Honda,18696.153846153848,47485.0,Civic,21299.0,2017,7662
4T1B11HK5JU137345,Allan Turner,Toyota,23007.5,34888.0,Camry,21439.0,2018,8073
2C3CDXHGXHH643480,Allan Turner,Dodge,31353.125,55467.0,Charger,21461.0,2017,7715
KM8J33A45KU041651,Allan Turner,Hyundai,21233.928571428565,7445.0,Tucson,21470.0,2019,9265
1G1FB1RS7H0124205,Allan Turner,Chevrolet,,63707.0,Camaro,21479.0,2017,7637
2T2BK1BA3FC335486,Allan Turner,Lexus,22033.33333333333,53610.0,RX,21499.0,2015,7014
KMHE34L1XHA044601,Allan Turner,Hyundai,2600.0,61463.0,Sonata Hybrid,21644.0,2017,0
5N1AT2MT3KC739629,Allan Turner,Nissan,20437.5,42601.0,Rogue,21700.0,2019,9761
2GKALPEK7H6200198,Allan Turner,Gmc,18433.33333333333,31399.0,Terrain,21776.0,2017,7830
2GKFLPE34H6216910,Allan Turner,Gmc,18433.33333333333,39948.0,Terrain,21889.0,2017,7830
3C4NJDDB1KT695357,Allan Turner,Jeep,20128.571428571428,34942.0,Compass,22707.0,2019,9681
2GNAXUEV0K6230098,Allan Turner,Chevrolet,21620.0,23656.0,Equinox,22795.0,2019,9616
1G1YY25W985122996,Allan Turner,Chevrolet,22983.33333333333,69946.0,Corvette,22991.0,2008,5015
KMHGN4JE8GU107829,Allan Turner,Hyundai,20750.0,34943.0,Genesis,23213.0,2016,7531
KM8J33AL1LU144171,Allan Turner,Hyundai,2600.0,5458.0,Tucson,23789.0,2020,0
1GTH5BEA1J1259402,Allan Turner,Gmc,29215.0,33200.0,Canyon,23987.0,2018,8877
1FA6P8TH8K5166154,Allan Turner,Ford,33497.22222222222,22918.0,Mustang,24077.0,2019,9185
3GKALVEV3LL127818,Allan Turner,Gmc,2600.0,44991.0,Terrain,24147.0,2020,0
KMHGN4JE7GU115047,Allan Turner,Hyundai,20750.0,51385.0,Genesis,24184.0,2016,7531
2C4RC1BGXJR143155,Allan Turner,Chrysler,23135.0,40922.0,Pacifica,24369.0,2018,8975
5NMS23AD3LH151277,Allan Turner,Hyundai,2600.0,8837.0,Santa Fe,24385.0,2020,0
WBXHU7C37H5H35911,Allan Turner,Bmw,22275.0,44313.0,X1,24408.0,2017,7696
KMHGN4JF9FU020965,Allan Turner,Hyundai,18175.0,34390.0,Genesis,24551.0,2015,6964
5XXGU4L13LG413547,Allan Turner,Kia,2600.0,8620.0,Optima,24594.0,2020,0
5NMS23AD8LH154742,Allan Turner,Hyundai,2600.0,8604.0,Santa Fe,24596.0,2020,0
1FM5K7D82KGA04632,Allan Turner,Ford,30453.125,52019.0,Explorer,24599.0,2019,9729
1C4RJEAG8HC610526,Allan Turner,Jeep,29567.5,35778.0,Grand Cherokee,24878.0,2017,7671
1C6RR7LG1FS509131,Allan Turner,Ram,,97891.0,1500,24879.0,2015,7186
2C3CDXBG3KH700134,Allan Turner,Dodge,26425.0,18631.0,Charger,25339.0,2019,9622
1G1FB1RS5K0148087,Allan Turner,Chevrolet,36267.307692307695,29540.0,Camaro,25496.0,2019,9567
1FT7X2A61GEB69305,Allan Turner,Ford,2600.0,44969.0,F-250SD,25613.0,2016,0
1FM5K7DH6JGC26878,Allan Turner,Ford,28668.75,24101.0,Explorer,25997.0,2018,8233
1GC1KXEG5CF102327,Allan Turner,Chevrolet,,102500.0,Silverado 2500HD,25998.0,2012,6287
1FATP8UH7K5161593,Allan Turner,Ford,33497.22222222222,26195.0,Mustang,25998.0,2019,9185
1G1FA3DSXH0136340,Allan Turner,Chevrolet,,17473.0,Camaro,26113.0,2017,7637
1GNSCBKC6FR535025,Allan Turner,Chevrolet,28716.66666666667,121958.0,Tahoe,26128.0,2015,6950
1FATP8UH3K5162322,Allan Turner,Ford,33497.22222222222,31615.0,Mustang,26170.0,2019,9185
5XYPK4A55JG369779,Allan Turner,Kia,23394.230769230766,42148.0,Sorento,26607.0,2018,8653
1GCHSDEN2J1167593,Allan Turner,Chevrolet,28238.09523809524,20417.0,Colorado,27325.0,2018,8873
1GTV2VEC4EZ207560,Allan Turner,Gmc,22655.555555555562,96502.0,Sierra 1500,27997.0,2014,6650
1FA6P8TH7K5105717,Allan Turner,Ford,33497.22222222222,10300.0,Mustang,27997.0,2019,9185
1C4BJWCG8EL144564,Allan Turner,Jeep,23700.0,50961.0,Wrangler,28238.0,2014,6903
1C6RR7GT7GS349183,Allan Turner,Ram,25197.580645161288,52580.0,1500,28705.0,2016,7543
KNDME5C10J6356371,Allan Turner,Kia,22085.0,28580.0,Sedona,28810.0,2018,8991
1GCRCPEC9HZ261581,Allan Turner,Chevrolet,29153.22580645161,36733.0,Silverado 1500,28989.0,2017,7788
1C4RJEAG7JC289228,Allan Turner,Jeep,35447.72727272727,32277.0,Grand Cherokee,29095.0,2018,8228
1GNERGKW3JJ128242,Allan Turner,Chevrolet,28477.272727272728,32698.0,Traverse,29480.0,2018,8072
5LMCJ2C93KUL07893,Allan Turner,Lincoln,29709.375,8514.0,MKC,29966.0,2019,9119
1HGCV1F50LA005626,Allan Turner,Honda,2600.0,4682.0,Accord,29995.0,2020,0
1GCGTCEN3K1201674,Allan Turner,Chevrolet,29688.09523809524,33368.0,Colorado,29997.0,2019,9573
1GCGSCEN8L1227370,Allan Turner,Chevrolet,2600.0,3009.0,Colorado,29998.0,2020,0
2LMPJ6LR9JBL11774,Allan Turner,Lincoln,,37823.0,MKX,30190.0,2018,8964
5N1DR2MN1KC609622,Allan Turner,Nissan,25653.125,9205.0,Pathfinder,30226.0,2019,9760
5NPEH4J2XLH014470,Allan Turner,Hyundai,2600.0,1497.0,Sonata,30230.0,2020,0
4T1B61HK6KU785439,Allan Turner,Toyota,25032.5,17871.0,Camry,30568.0,2019,9771
1FTFW1EG0FKE07768,Allan Turner,Ford,,107467.0,F-150,31239.0,2015,6988
1FTER4EH7KLA53507,Allan Turner,Ford,29863.46153846154,3803.0,Ranger,31360.0,2019,9180
4S4WMAFDXK3456678,Allan Turner,Subaru,,20561.0,Ascent,31497.0,2019,9140
1FA6P8CF6H5212782,Allan Turner,Ford,26952.777777777777,13659.0,Mustang,31523.0,2017,7717
1N4AA6AV4KC378988,Allan Turner,Nissan,,25457.0,Maxima,31855.0,2019,9757
1C6RR6TT1KS694413,Allan Turner,Ram,,32971.0,1500 Classic,31969.0,2019,9685
1GCGSDEN9H1255062,Allan Turner,Chevrolet,26456.66666666667,11737.0,Colorado,32108.0,2017,7871
1C6RR6TTXKS706882,Allan Turner,Ram,,34233.0,1500 Classic,32764.0,2019,9685
JTEBU5JR9H5417358,Allan Turner,Toyota,31352.777777777777,64919.0,4Runner,33232.0,2017,7766
1GCVKREHXHZ223883,Allan Turner,Chevrolet,29153.22580645161,18588.0,Silverado 1500,33363.0,2017,7788
3GTU2NEC3HG193165,Allan Turner,Gmc,30288.888888888887,99514.0,Sierra 1500,33448.0,2017,7596
1FBAX2Y89LKA32562,Allan Turner,Ford,2600.0,1142.0,Transit-350,33497.0,2020,0
3GCUKSEC0HG201575,Allan Turner,Chevrolet,29153.22580645161,90927.0,Silverado 1500,33959.0,2017,7788
1N6AA1E60HN514785,Allan Turner,Nissan,26712.5,67259.0,Titan,33973.0,2017,7634
JTEBU5JR8H5464364,Allan Turner,Toyota,31352.777777777777,43298.0,4Runner,34185.0,2017,7766
5FNYF5H58LB005208,Allan Turner,Honda,2600.0,12447.0,Pilot,34521.0,2020,0
2T3N1RFV2KW045790,Allan Turner,Toyota,27750.0,7167.0,RAV4,34659.0,2019,9261
1FTFW1EG4GFA02877,Allan Turner,Ford,28922.727272727272,85249.0,F-150,34994.0,2016,7500
5TDYZRFH8JS253060,Allan Turner,Toyota,30789.70588235294,26062.0,Highlander,35167.0,2018,8993
3GCPCREC3JG519523,Allan Turner,Chevrolet,31433.796296296296,19418.0,Silverado 1500,35387.0,2018,8753
1GCVKREC3JZ114112,Allan Turner,Chevrolet,31433.796296296296,29088.0,Silverado 1500,35703.0,2018,8753
JALCDW166J7007923,Allan Turner,Chevrolet,2600.0,16329.0,4500HD LCF Diesel,35914.0,2018,0
1FTEW1CP2KFC79275,Allan Turner,Ford,38535.795454545456,8487.0,F-150,36475.0,2019,9675
3GTU2VEC1FG353881,Allan Turner,Gmc,24787.5,49079.0,Sierra 1500,36676.0,2015,7182
1FTEW1EG1FFB87822,Allan Turner,Ford,,76426.0,F-150,36994.0,2015,6988
1GCUKREC1JF140561,Allan Turner,Chevrolet,31433.796296296296,43445.0,Silverado 1500,36998.0,2018,8753
WDAPF4CD6KN025254,Allan Turner,Mercedes-benz,2600.0,579.0,Sprinter 3500,37060.0,2019,0
1GC1KVEY0HF156655,Allan Turner,Chevrolet,,117064.0,Silverado 2500HD,37568.0,2017,7807
3GNKBERS9LS554615,Allan Turner,Chevrolet,2600.0,11307.0,Blazer,37926.0,2020,0
JN8AY2NC0H9508928,Allan Turner,Nissan,30779.16666666667,39458.0,Armada,38321.0,2017,7628
5TFDW5F12HX664249,Allan Turner,Toyota,34186.11111111112,61161.0,Tundra,38541.0,2017,7768
3GCUKREC3JG320283,Allan Turner,Chevrolet,31433.796296296296,33260.0,Silverado 1500,38999.0,2018,8753
1GKS2CKJ0FR160589,Allan Turner,Gmc,29250.0,61771.0,Yukon,39045.0,2015,6948
58ABZ1B10KU020923,Allan Turner,Lexus,,4221.0,ES,39335.0,2019,9313
1GCPWDED3KZ133401,Allan Turner,Chevrolet,39582.738095238084,20608.0,Silverado 1500,39999.0,2019,9174
3GTU2NEC7JG202715,Allan Turner,Gmc,32937.5,64009.0,Sierra 1500,40988.0,2018,8878
1C4HJXDG0KW610626,Allan Turner,Jeep,39045.0,1993.0,Wrangler,40999.0,2019,9684
1FTEW1EF0GFA57278,Allan Turner,Ford,28922.727272727272,20568.0,F-150,41531.0,2016,7500
1GCPWDED8KZ125634,Allan Turner,Chevrolet,39582.738095238084,9051.0,Silverado 1500,41646.0,2019,9174
1GCRYCEF4LZ200880,Allan Turner,Chevrolet,2600.0,6453.0,Silverado 1500,43693.0,2020,0
3GCUKSEC2JG608772,Allan Turner,Chevrolet,31433.796296296296,15879.0,Silverado 1500,44756.0,2018,8753
1GNSCHKC4LR168706,Allan Turner,Chevrolet,2600.0,33945.0,Suburban,45549.0,2020,0
