VIN,Dealer,Make,MarketValue,Mileage,Model,Price,Year,modelYearId
2D4RN5DX5AR217048,Hill Kelly Dodge,Dodge,,74696.0,Grand Caravan,8450.0,2010,5579
5NPEB4AC5EH889436,Hill Kelly Dodge,Hyundai,11014.285714285714,111993.0,Sonata,8950.0,2014,6852
1C3CDFBA8DD104412,Hill Kelly Dodge,Dodge,,,Dart,8990.0,2013,6377
1D7HU18P87J561748,Hill Kelly Dodge,Dodge,8477.5,164461.0,Ram 1500,9450.0,2007,4726
5N1AR1NB1BC627278,Hill Kelly Dodge,Nissan,,147485.0,Pathfinder,9750.0,2011,6005
JM1BM1V71E1130332,Hill Kelly Dodge,Mazda,2600.0,88530.0,Mazda3,10750.0,2014,0
2C4RDGBGXGR250375,Hill Kelly Dodge,Dodge,12716.666666666664,107909.0,Grand Caravan,11200.0,2016,7551
1C4PJLAB9FW700909,Hill Kelly Dodge,Jeep,13846.428571428567,107239.0,Cherokee,11450.0,2015,7102
5XYZU3LB6DG098204,Hill Kelly Dodge,Hyundai,11243.75,118834.0,Santa Fe,11450.0,2013,6451
2C3CCAAG2DH697618,Hill Kelly Dodge,Chrysler,14331.25,99454.0,300,11750.0,2013,6510
1G11D5SL3FF269671,Hill Kelly Dodge,Chevrolet,11880.0,89914.0,Malibu,11975.0,2015,7050
5XYZU3LA5EG169028,Hill Kelly Dodge,Hyundai,12556.25,115541.0,Santa Fe Sport,11985.0,2014,6931
5NPEC4AC4EH815437,Hill Kelly Dodge,Hyundai,11014.285714285714,66708.0,Sonata,12450.0,2014,6852
JM3KE2CY6E0427012,Hill Kelly Dodge,Mazda,11516.666666666664,90842.0,CX-5,13450.0,2014,6654
3MYDLBYV1JY324975,Hill Kelly Dodge,Toyota,13587.5,41111.0,Yaris iA,13450.0,2018,8854
KNDJX3A52F7155418,Hill Kelly Dodge,Kia,10300.0,75456.0,Soul,14500.0,2015,7146
3C4PDCAB4JT296116,Hill Kelly Dodge,Dodge,17828.125,45792.0,Journey,14500.0,2018,8676
3MZBM1N74GM325473,Hill Kelly Dodge,Mazda,2600.0,75366.0,Mazda3,14750.0,2016,0
1G1BC5SM6J7113319,Hill Kelly Dodge,Chevrolet,14075.0,20145.0,Cruze,15450.0,2018,9033
3GNCJKSB7JL161543,Hill Kelly Dodge,Chevrolet,16329.166666666664,12490.0,Trax,15500.0,2018,8974
1C4RJFAG6DC571161,Hill Kelly Dodge,Jeep,,60466.0,Grand Cherokee,15750.0,2013,6497
3MYDLBYV5JY333243,Hill Kelly Dodge,Toyota,13587.5,29617.0,Yaris iA,15850.0,2018,8854
2C4RDGBG8JR187994,Hill Kelly Dodge,Dodge,16541.666666666668,57901.0,Grand Caravan,15975.0,2018,8950
3C4PDCBG9JT184342,Hill Kelly Dodge,Dodge,17828.125,48713.0,Journey,16200.0,2018,8676
3FA6P0RU4FR219506,Hill Kelly Dodge,Ford,2600.0,46101.0,Fusion Hybrid,16200.0,2015,0
2LMDJ8JK3DBL45217,Hill Kelly Dodge,Lincoln,12862.5,68373.0,MKX,16750.0,2013,6374
5XYZU3LB0GG374879,Hill Kelly Dodge,Hyundai,15750.0,40878.0,Santa Fe Sport,16985.0,2016,7411
1N6BA0EK1FN512892,Hill Kelly Dodge,Nissan,20360.416666666668,106612.0,Titan,17875.0,2015,7174
JF1ZCAC17E9600354,Hill Kelly Dodge,Subaru,,31470.0,BRZ,17950.0,2014,6891
3D7KR28C65G708240,Hill Kelly Dodge,Dodge,7800.0,187080.0,Ram 2500,17950.0,2005,3971
KMHGN4JE3FU095023,Hill Kelly Dodge,Hyundai,18175.0,78005.0,Genesis,17985.0,2015,6964
1C4PJLCXXJD587811,Hill Kelly Dodge,Jeep,20538.88888888889,73238.0,Cherokee,18225.0,2018,8678
2GNAXJEV5J6151734,Hill Kelly Dodge,Chevrolet,19556.666666666668,41698.0,Equinox,18450.0,2018,7991
5FNRL5H69EB069928,Hill Kelly Dodge,Honda,,84622.0,Odyssey,18750.0,2014,6702
2C3CDXBG6HH504858,Hill Kelly Dodge,Dodge,31353.125,82272.0,Charger,18850.0,2017,7715
3VW5T7AJ1HM338784,Hill Kelly Dodge,Volkswagen,14900.0,28962.0,Jetta,18875.0,2017,7777
JM3KFACL5H0136582,Hill Kelly Dodge,Mazda,19540.625,104008.0,CX-5,18925.0,2017,7745
1C4PJLCB0HW643824,Hill Kelly Dodge,Jeep,18869.44444444444,33858.0,Cherokee,18975.0,2017,7741
2C4RDGEG2KR534443,Hill Kelly Dodge,Dodge,18091.666666666668,41350.0,Grand Caravan,18985.0,2019,9639
2C4RDGCG7KR520394,Hill Kelly Dodge,Dodge,18091.666666666668,43650.0,Grand Caravan,19425.0,2019,9639
1C4RDHAG0FC236211,Hill Kelly Dodge,Dodge,20215.625,67987.0,Durango,19450.0,2015,7221
1J4BA6H10AL211215,Hill Kelly Dodge,Jeep,2600.0,107158.0,Wrangler JK,19850.0,2010,0
ZACCJABB9JPJ63298,Hill Kelly Dodge,Jeep,18314.285714285714,11535.0,Renegade,19980.0,2018,8679
1C4RDHDG8FC139480,Hill Kelly Dodge,Dodge,20215.625,86627.0,Durango,19980.0,2015,7221
3FA6P0D92KR106232,Hill Kelly Dodge,Ford,19885.416666666668,29402.0,Fusion,20750.0,2019,9263
2C4RDGEG4KR680195,Hill Kelly Dodge,Dodge,18091.666666666668,42520.0,Grand Caravan,20900.0,2019,9639
1C4RDHDG0GC308215,Hill Kelly Dodge,Dodge,23234.375,90839.0,Durango,20900.0,2016,7457
3C6JR6AT4GG382858,Hill Kelly Dodge,Ram,25197.580645161288,56553.0,1500,20988.0,2016,7543
SHHFK7H41JU207695,Hill Kelly Dodge,Honda,19916.40625,37193.0,Civic,21450.0,2018,8518
2G1105S38J9122730,Hill Kelly Dodge,Chevrolet,18816.666666666668,27420.0,Impala,21450.0,2018,8633
ZACNJABB5KPK91483,Hill Kelly Dodge,Jeep,20057.14285714286,10380.0,Renegade,21675.0,2019,9683
19UUB3F54FA005206,Hill Kelly Dodge,Acura,,45764.0,TLX,21750.0,2015,7062
2C3CCAAG7JH331813,Hill Kelly Dodge,Chrysler,22815.625,28132.0,300,21950.0,2018,8677
1FM5K8D82FGC32626,Hill Kelly Dodge,Ford,15831.25,44558.0,Explorer,21985.0,2015,7009
ZACNJBAB8KPK27574,Hill Kelly Dodge,Jeep,20057.14285714286,2255.0,Renegade,22450.0,2019,9683
1GTG5BE37G1307717,Hill Kelly Dodge,Gmc,22539.58333333333,69309.0,Canyon,22450.0,2016,7387
3GTP1UEC3EG142349,Hill Kelly Dodge,Gmc,22655.555555555562,122763.0,Sierra 1500,22750.0,2014,6650
ZACNJAB12KPK26727,Hill Kelly Dodge,Jeep,20057.14285714286,399.0,Renegade,22775.0,2019,9683
3C4NJCBB3LT225023,Hill Kelly Dodge,Jeep,2600.0,3658.0,Compass,22850.0,2020,0
5TDZARFH0GS019872,Hill Kelly Dodge,Toyota,24384.375,64694.0,Highlander,22950.0,2016,7495
2C3CCABG2FH803020,Hill Kelly Dodge,Chrysler,17434.090909090908,11360.0,300,23300.0,2015,7220
1G4ZR5SS5HU147617,Hill Kelly Dodge,Buick,21630.0,27483.0,LaCrosse,24225.0,2017,7591
1ZVBP8FF9E5246681,Hill Kelly Dodge,Ford,24808.33333333333,39728.0,Mustang,24250.0,2014,6671
LRBFXBSA1HD046592,Hill Kelly Dodge,Buick,20028.571428571428,17763.0,Envision,24275.0,2017,7676
3C4NJDCB4HT689093,Hill Kelly Dodge,Jeep,2600.0,18414.0,New Compass,24300.0,2017,0
1FM5K7F81GGC20394,Hill Kelly Dodge,Ford,22131.25,55858.0,Explorer,24500.0,2016,7252
2C3CDZAG1HH604315,Hill Kelly Dodge,Dodge,34991.666666666664,33745.0,Challenger,24500.0,2017,7714
2C3CCABG4KH589772,Hill Kelly Dodge,Chrysler,24046.875,29442.0,300,24650.0,2019,9671
KNALC4J12H5070940,Hill Kelly Dodge,Kia,20358.33333333333,28502.0,Cadenza,24716.0,2017,7663
KNDMB5C13J6346099,Hill Kelly Dodge,Kia,22085.0,31482.0,Sedona,24750.0,2018,8991
3C6JR6BT8HG707544,Hill Kelly Dodge,Ram,28240.83333333333,67590.0,1500,24900.0,2017,7789
1C4RJEAG3HC916159,Hill Kelly Dodge,Jeep,29567.5,37617.0,Grand Cherokee,24950.0,2017,7671
1C4PJMBB7HW538589,Hill Kelly Dodge,Jeep,18869.44444444444,47127.0,Cherokee,24985.0,2017,7741
2C3CDZAG2JH339152,Hill Kelly Dodge,Dodge,47242.857142857145,15624.0,Challenger,25200.0,2018,8237
3C6RR6KTXJG158163,Hill Kelly Dodge,Ram,30664.204545454544,52996.0,1500,25450.0,2018,8947
5N1AZ2MG9HN194745,Hill Kelly Dodge,Nissan,20603.125,38322.0,Murano,25675.0,2017,7757
4T1B11HK6KU832239,Hill Kelly Dodge,Toyota,25032.5,12200.0,Camry,25750.0,2019,9771
1N4AL4CV5KC228433,Hill Kelly Dodge,Nissan,22538.461538461543,9030.0,Altima,25750.0,2019,9215
5N1AT2MT2KC712650,Hill Kelly Dodge,Nissan,20437.5,16907.0,Rogue,25950.0,2019,9761
1C4PJLDBXKD452770,Hill Kelly Dodge,Jeep,22575.0,1818.0,Cherokee,25950.0,2019,9135
1C4PJLJS1GW315569,Hill Kelly Dodge,Jeep,16822.222222222223,28703.0,Cherokee,25980.0,2016,7465
2C3CDZGG6HH574624,Hill Kelly Dodge,Dodge,34991.666666666664,35705.0,Challenger,26125.0,2017,7714
2C3CDXHG1JH135128,Hill Kelly Dodge,Dodge,34892.857142857145,27011.0,Charger,26700.0,2018,8946
2C3CCAAG1KH569013,Hill Kelly Dodge,Chrysler,24046.875,7742.0,300,26750.0,2019,9671
2C3CDZAG3KH724107,Hill Kelly Dodge,Dodge,40681.25,15516.0,Challenger,26750.0,2019,9625
1C4RDHDG3HC627237,Hill Kelly Dodge,Dodge,26293.75,47906.0,Durango,26775.0,2017,7814
1G1FB1RS9J0144297,Hill Kelly Dodge,Chevrolet,33837.5,22271.0,Camaro,26850.0,2018,8481
2C4RC1BG1KR581368,Hill Kelly Dodge,Chrysler,25841.66666666667,24196.0,Pacifica,26950.0,2019,9627
1C6RR6FG3JS336565,Hill Kelly Dodge,Ram,30664.204545454544,29202.0,1500,26975.0,2018,8947
WAUGMAF41KN006217,Hill Kelly Dodge,Audi,32889.28571428572,35281.0,A4,26980.0,2019,9659
1C4RJFAG2HC733910,Hill Kelly Dodge,Jeep,29567.5,70548.0,Grand Cherokee,26985.0,2017,7671
1C4RDHAG6JC226579,Hill Kelly Dodge,Dodge,31044.444444444438,51554.0,Durango,27550.0,2018,8134
2C3CDZFJ4GH202629,Hill Kelly Dodge,Dodge,33455.0,118661.0,Challenger,27895.0,2016,7453
KM8SR4HF6JU294198,Hill Kelly Dodge,Hyundai,24170.83333333333,31981.0,Santa Fe,27950.0,2018,8277
1FM5K7D88JGA17576,Hill Kelly Dodge,Ford,28668.75,37576.0,Explorer,27975.0,2018,8233
5N1AZ2MG4JN156829,Hill Kelly Dodge,Nissan,23100.0,29470.0,Murano,28575.0,2018,8476
2C4RC1GG5JR268962,Hill Kelly Dodge,Chrysler,23135.0,48657.0,Pacifica,28750.0,2018,8975
1GKKNNLS1HZ129719,Hill Kelly Dodge,Gmc,23809.615384615387,37337.0,Acadia,29200.0,2017,7615
1C4RJEAG9KC816901,Hill Kelly Dodge,Jeep,39634.09090909091,19419.0,Grand Cherokee,29450.0,2019,9682
2C3CDXHG8KH597106,Hill Kelly Dodge,Dodge,26425.0,34099.0,Charger,29450.0,2019,9622
3GCUKSEC9EG409823,Hill Kelly Dodge,Chevrolet,22434.821428571428,103329.0,Silverado 1500,29450.0,2014,6649
1GCGSCEN2J1305221,Hill Kelly Dodge,Chevrolet,28238.09523809524,41820.0,Colorado,29550.0,2018,8873
55SWF4JB4HU230782,Hill Kelly Dodge,Mercedes-benz,,25298.0,C-Class,29625.0,2017,7563
5TFRX5GN5LX172540,Hill Kelly Dodge,Toyota,2600.0,2118.0,Tacoma,29750.0,2020,0
2C3CDZJG8KH541494,Hill Kelly Dodge,Dodge,40681.25,8587.0,Challenger,29975.0,2019,9625
1FM5K8HT1GGD34015,Hill Kelly Dodge,Ford,22131.25,45886.0,Explorer,30450.0,2016,7252
1FM5K7F81HGC99020,Hill Kelly Dodge,Ford,26625.0,30660.0,Explorer,30750.0,2017,7733
1FMJK1JT7HEA61952,Hill Kelly Dodge,Ford,2600.0,62641.0,Expedition EL,30975.0,2017,0
1FTEX1CP0HFC50184,Hill Kelly Dodge,Ford,33840.625,25335.0,F-150,31975.0,2017,7787
JM3KFBDYXK0588468,Hill Kelly Dodge,Mazda,25061.11111111111,23147.0,CX-5,32500.0,2019,9753
5TDZZRFHXKS355143,Hill Kelly Dodge,Toyota,34261.76470588235,8413.0,Highlander,32500.0,2019,9772
1C6RR7LM7HS873871,Hill Kelly Dodge,Ram,28240.83333333333,44502.0,1500,33750.0,2017,7789
1C4HJXDN9JW292776,Hill Kelly Dodge,Jeep,31566.66666666667,4098.0,Wrangler,34250.0,2018,8680
JTEBU5JRXJ5512789,Hill Kelly Dodge,Toyota,34525.0,35550.0,4Runner,34975.0,2018,8855
2C4RC1GG3LR156423,Hill Kelly Dodge,Chrysler,2600.0,15354.0,Pacifica,34975.0,2020,0
1C4HJXDN2JW268125,Hill Kelly Dodge,Jeep,31566.66666666667,4888.0,Wrangler,35425.0,2018,8680
1C4HJXDG4JW281198,Hill Kelly Dodge,Jeep,31566.66666666667,45985.0,Wrangler,35450.0,2018,8680
1FA6P8CF0K5194061,Hill Kelly Dodge,Ford,33497.22222222222,10281.0,Mustang,36950.0,2019,9185
JTEBU5JR4J5505482,Hill Kelly Dodge,Toyota,34525.0,33012.0,4Runner,37500.0,2018,8855
3GCUKREC7HG164890,Hill Kelly Dodge,Chevrolet,29153.22580645161,48165.0,Silverado 1500,37500.0,2017,7788
1N6AA1E60KN528614,Hill Kelly Dodge,Nissan,33483.333333333336,13048.0,Titan,37980.0,2019,9763
3GCUKRECXHG458445,Hill Kelly Dodge,Chevrolet,29153.22580645161,49028.0,Silverado 1500,38775.0,2017,7788
1C4HJXEG9JW175988,Hill Kelly Dodge,Jeep,31566.66666666667,28559.0,Wrangler,39450.0,2018,8680
1C4RJFCG1JC333999,Hill Kelly Dodge,Jeep,35447.72727272727,14563.0,Grand Cherokee,39750.0,2018,8228
1C6RR7PM1GS353268,Hill Kelly Dodge,Ram,25197.580645161288,51858.0,1500,39750.0,2016,7543
1C6HJTAG5LL131450,Hill Kelly Dodge,Jeep,2600.0,3547.0,Gladiator,39975.0,2020,0
YV4A22RL3J1046809,Hill Kelly Dodge,Volvo,38358.333333333336,28458.0,XC60,40725.0,2018,8176
1GNSCAKC8KR151218,Hill Kelly Dodge,Chevrolet,44720.83333333334,22613.0,Tahoe,41500.0,2019,9618
1C6RR7NM5JS253703,Hill Kelly Dodge,Ram,30664.204545454544,30073.0,1500,42985.0,2018,8947
1GC1KWE85GF220869,Hill Kelly Dodge,Chevrolet,,113075.0,Silverado 2500HD,43800.0,2016,7509
3GCUKSEC7JG644960,Hill Kelly Dodge,Chevrolet,31433.796296296296,34455.0,Silverado 1500,43980.0,2018,8753
1FTEW1EP0JFC86415,Hill Kelly Dodge,Ford,34787.5,29417.0,F-150,44500.0,2018,8096
1C6RR6PT9JS193519,Hill Kelly Dodge,Ram,30664.204545454544,32141.0,1500,44750.0,2018,8947
1GCUYGEL0KZ142661,Hill Kelly Dodge,Chevrolet,2600.0,20898.0,Silverado All New 1500,48500.0,2019,0
5TDJY5G16KS169268,Hill Kelly Dodge,Toyota,45196.875,18792.0,Sequoia,52500.0,2019,9775
JTEBU5JR7L5790536,Hill Kelly Dodge,Toyota,2600.0,4754.0,4Runner,52750.0,2020,0
1C6JJTBG2LL120647,Hill Kelly Dodge,Jeep,2600.0,11372.0,Gladiator,54500.0,2020,0
1C6SRFHT4KN549780,Hill Kelly Dodge,Ram,2600.0,16100.0,All New 1500,57986.0,2019,0
3GTU9EET9LG262204,Hill Kelly Dodge,Gmc,2600.0,8152.0,Sierra All New 1500,61000.0,2020,0
1FT7W2BT1JEB04162,Hill Kelly Dodge,Ford,2600.0,48325.0,F-250SD,67750.0,2018,0
JN1EV7AP7LM201065,Car Deals,Infiniti,2600.0,9485.0,Q50,24900.0,2020,0
1C6RR7KT1ES362287,Car Deals,Ram,19711.206896551725,88025.0,1500,22500.0,2014,6695
1C4AJWAG6DL542210,Car Deals,Jeep,,95500.0,Wrangler,19500.0,2013,6499
5TDXZ3DC2HS891914,Car Deals,Toyota,24614.285714285717,49426.0,Sienna,18900.0,2017,7653
JF1GPAT67F8318875,Car Deals,Subaru,,42000.0,Impreza,15590.0,2015,7198
JF2SJADC8GH405357,Car Deals,Subaru,17050.0,77611.0,Forester,14490.0,2016,7357
JM1GJ1T52F1187852,Car Deals,Mazda,2600.0,37049.0,MAZDA6,12900.0,2015,0
1J4RR5GG6BC503833,Car Deals,Jeep,2600.0,114460.0,Grand,11490.0,2011,0
5XYKTDA28DG327625,Car Deals,Kia,9962.5,111106.0,Sorento,10900.0,2013,6394
5XYZU3LB5DG099148,Car Deals,Hyundai,2600.0,95813.0,Santa,10590.0,2013,0
5NPE24AF2GH355372,Car Deals,Hyundai,15242.5,120759.0,Sonata,10290.0,2016,7516
5NPE24AF7GH359563,Car Deals,Hyundai,15242.5,81054.0,Sonata,9790.0,2016,7516
5NPE24AF8GH297266,Car Deals,Hyundai,15242.5,84320.0,Sonata,9590.0,2016,7516
2HGFB2F59EH528241,Car Deals,Honda,10922.619047619048,99294.0,Civic,9490.0,2014,6842
5NPE24AF7GH379733,Car Deals,Hyundai,15242.5,98099.0,Sonata,9390.0,2016,7516
ML32F3FJ5KHF06796,Car Deals,Mitsubishi,11307.5,10853.0,Mirage,8990.0,2019,9993
1FADP3K23EL463551,Car Deals,Ford,,51680.0,Focus,8950.0,2014,6788
3N1CN7AP5HL847536,Car Deals,Nissan,9862.5,57097.0,Versa,8590.0,2017,7755
5NPEB4AC0DH657714,Car Deals,Hyundai,9078.57142857143,95470.0,Sonata,8590.0,2013,6414
3N1AB7AP3FY264883,Car Deals,Nissan,7920.0,71106.0,Sentra,8290.0,2015,7169
3N1CE2CP1GL366567,Car Deals,Nissan,7825.0,30234.0,Versa,8290.0,2016,7478
1N4AL3AP0EC415422,Car Deals,Nissan,9600.0,89832.0,Altima,8290.0,2014,6876
3N1CN7AP5HL894856,Car Deals,Nissan,9862.5,36211.0,Versa,8290.0,2017,7755
3N1AB7AP5FY297674,Car Deals,Nissan,7920.0,64613.0,Sentra,8290.0,2015,7169
KMHDH4AE4CU448651,Car Deals,Hyundai,,82900.0,Elantra,7900.0,2012,6131
JT8BD68S5W0029183,Sandy Sansing,Lexus,2600.0,156552.0,GS 300 Luxury Perform Sdn,3855.0,1998,0
3N1AB61E07L601114,Sandy Sansing,Nissan,4330.0,224366.0,Sentra,4500.0,2007,4597
3GNFK16T91G196262,Sandy Sansing,Chevrolet,,219799.0,Suburban,4900.0,2001,1791
3VWJM71K98M074105,Sandy Sansing,Volkswagen,2600.0,201861.0,Jetta Sedan,5000.0,2008,0
2G1WT57K691220047,Sandy Sansing,Chevrolet,,235394.0,Impala,5404.0,2009,5231
3C3CFFAR9DT546417,Sandy Sansing,Fiat,6475.0,103801.0,500,5550.0,2013,6513
1GCDC14KXRZ236495,Sandy Sansing,Chevrolet,2600.0,227752.0,C/K 1500,5900.0,1994,0
1HGCP2F35AA133758,Sandy Sansing,Honda,2600.0,188980.0,Accord Sdn,5991.0,2010,0
2A4RR5D13AR369580,Sandy Sansing,Chrysler,6350.0,169686.0,Town & Country,5991.0,2010,5555
KNDJT2A53D7491601,Sandy Sansing,Kia,7925.0,130611.0,Soul,6038.0,2013,6460
4T1CE38P96U651285,Sandy Sansing,Toyota,,151000.0,Camry Solara,6634.0,2006,4265
2T1BU4EE9AC361923,Sandy Sansing,Toyota,7175.0,112649.0,Corolla,6688.0,2010,5462
KNAGM4A75B5066486,Sandy Sansing,Kia,7310.0,179076.0,Optima,6987.0,2011,5805
5NPEC4AC5CH428554,Sandy Sansing,Hyundai,7829.166666666668,174204.0,Sonata,6998.0,2012,6215
JN8AS5MTXBW161556,Sandy Sansing,Nissan,,150489.0,Rogue,7245.0,2011,6003
WMEEJ3BA5FK813083,Sandy Sansing,Smart,,69188.0,fortwo,7500.0,2015,7197
JTEDW21A960006824,Sandy Sansing,Toyota,2600.0,149155.0,Highlander Hybrid,7600.0,2006,0
3GNAL3E5XCS545869,Sandy Sansing,Chevrolet,2600.0,102445.0,Captiva Sport Fleet,7808.0,2012,0
WBANU5C51AC441597,Sandy Sansing,Bmw,,137452.0,5 Series,7990.0,2010,5474
1HGFA16857L074034,Sandy Sansing,Honda,2600.0,122511.0,Civic Sdn,7995.0,2007,0
1GNKRGED6BJ320088,Sandy Sansing,Chevrolet,,155280.0,Traverse,8627.0,2011,5874
JTDKTUD36ED574565,Sandy Sansing,Toyota,,68770.0,Yaris,8725.0,2014,6818
1N6AD07U28C407620,Sandy Sansing,Nissan,,197396.0,Frontier,8900.0,2008,5095
5N1AR2MN5FC667791,Sandy Sansing,Nissan,,154154.0,Pathfinder,8991.0,2015,7168
3N1AB7AP2DL789833,Sandy Sansing,Nissan,5837.5,81283.0,Sentra,8995.0,2013,6444
JN8AZ1MU6AW001749,Sandy Sansing,Nissan,6841.666666666668,165914.0,Murano,9000.0,2010,5696
1G1PJ5SC1C7392586,Sandy Sansing,Chevrolet,6337.5,58190.0,Cruze,9550.0,2012,6214
2G1WT58K469337704,Sandy Sansing,Chevrolet,3905.0,244722.0,Impala,9598.0,2006,4450
3N1AB7AP3GY297173,Sandy Sansing,Nissan,10280.0,133900.0,Sentra,9667.0,2016,7487
1GCEK19J68Z254840,Sandy Sansing,Chevrolet,,203475.0,Silverado 1500,9688.0,2008,5135
1FTFX1CFXCKD28871,Sandy Sansing,Ford,,303287.0,F-150,9689.0,2012,6255
5NPDH4AE5DH347246,Sandy Sansing,Hyundai,7585.0,105638.0,Elantra,9725.0,2013,6392
5TDZK3EH3CS060454,Sandy Sansing,Toyota,13717.5,204434.0,Highlander,9734.0,2012,6162
2FMDK3J96DBA72606,Sandy Sansing,Ford,11840.625,121829.0,Edge,9888.0,2013,6372
KM8NU13C68U037690,Sandy Sansing,Hyundai,5887.5,107650.0,Veracruz,9900.0,2008,5122
KNDJN2A23E7024311,Sandy Sansing,Kia,,101856.0,Soul,9975.0,2014,6703
1FDWE35LX3HB58346,Sandy Sansing,Ford,2600.0,19169.0,Econoline Commercial Cutaway,9985.0,2003,0
1FTFW1CV6AFC34213,Sandy Sansing,Ford,12187.09677419355,232192.0,F-150,9991.0,2010,5514
2HGFB2F86CH308790,Sandy Sansing,Honda,2600.0,114166.0,Civic Sdn,9998.0,2012,0
2GTEC13V071178791,Sandy Sansing,Gmc,2600.0,219488.0,Sierra 1500 Classic,9999.0,2007,0
JTEZU14R278082153,Sandy Sansing,Toyota,10258.333333333334,177028.0,4Runner,10640.0,2007,4827
KNDJN2A24F7116030,Sandy Sansing,Kia,10300.0,49150.0,Soul,10900.0,2015,7146
4T1BF1FK6DU705983,Sandy Sansing,Toyota,10790.625,111476.0,Camry,10906.0,2013,6549
KMHGC4DD5DU229861,Sandy Sansing,Hyundai,12062.5,92478.0,Genesis,10989.0,2013,6506
3GNFC16Y27G268548,Sandy Sansing,Chevrolet,,184155.0,Suburban,10991.0,2007,4567
2G1WB5E38E1104938,Sandy Sansing,Chevrolet,2600.0,51049.0,Impala Limited,10991.0,2014,0
3N1AB7AP5GL670517,Sandy Sansing,Nissan,10280.0,88539.0,Sentra,10991.0,2016,7487
5UXZV4C54D0E01632,Sandy Sansing,Bmw,15166.666666666664,163565.0,X5,10998.0,2013,6403
1HGCR2F57EA138302,Sandy Sansing,Honda,2600.0,193083.0,Accord Sedan,11157.0,2014,0
3G1BC5SM4HS573154,Sandy Sansing,Chevrolet,13439.285714285714,60276.0,Cruze,11159.0,2017,7612
1GNSKJE79CR189690,Sandy Sansing,Chevrolet,16280.0,218069.0,Suburban,11250.0,2012,6327
JTDKN3DU7E0371169,Sandy Sansing,Toyota,11837.5,82812.0,Prius,11295.0,2014,6822
KL8CB6SAXHC769611,Sandy Sansing,Chevrolet,10000.0,28671.0,Spark,11412.0,2017,7846
1G11H5SL9EF129725,Sandy Sansing,Chevrolet,9891.666666666666,123862.0,Malibu,11464.0,2014,6784
1G11C5SL1FF241032,Sandy Sansing,Chevrolet,11880.0,89969.0,Malibu,11576.0,2015,7050
2C4RC1HG8ER177978,Sandy Sansing,Chrysler,11106.25,104145.0,Town & Country,11595.0,2014,6834
1FMJU1H56BEF00678,Sandy Sansing,Ford,11562.5,125944.0,Expedition,11725.0,2011,5888
1G1BC5SM4H7175702,Sandy Sansing,Chevrolet,13439.285714285714,19204.0,Cruze,11794.0,2017,7612
5XYZU3LB0DG061522,Sandy Sansing,Hyundai,11243.75,96972.0,Santa Fe,11991.0,2013,6451
JM1BM1W77E1124050,Sandy Sansing,Mazda,2600.0,106501.0,Mazda3,12000.0,2014,0
1C4PJLDS3EW221220,Sandy Sansing,Jeep,12185.714285714286,127239.0,Cherokee,12500.0,2014,6679
1G1BC5SM2G7305118,Sandy Sansing,Chevrolet,11487.5,60148.0,Cruze,12500.0,2016,7378
3N1CN7AP9JK410912,Sandy Sansing,Nissan,2600.0,46416.0,Versa Sedan,12500.0,2018,0
1D7RV1GT9BS551412,Sandy Sansing,Ram,13781.818181818182,175350.0,1500,12725.0,2011,6953
4T1BF1FK9EU438579,Sandy Sansing,Toyota,12339.473684210527,70531.0,Camry,12731.0,2014,6817
5NPE24AA8GH344803,Sandy Sansing,Hyundai,15242.5,71013.0,Sonata,12757.0,2016,7516
JM1BL1L32C1528794,Sandy Sansing,Mazda,2600.0,103627.0,Mazda3,12988.0,2012,0
1G1PG5SB1G7160064,Sandy Sansing,Chevrolet,2600.0,66488.0,Cruze Limited,12995.0,2016,0
3GTEK13M17G504423,Sandy Sansing,Gmc,,243303.0,Sierra 1500,12995.0,2007,4838
1C3CCCAB1FN626226,Sandy Sansing,Chrysler,11725.0,38915.0,200,12995.0,2015,6965
5TDKK3DC4FS638962,Sandy Sansing,Toyota,18642.85714285714,146710.0,Sienna,13391.0,2015,7131
1HGCP2F86CA112223,Sandy Sansing,Honda,2600.0,77805.0,Accord Sdn,13488.0,2012,0
KNDJN2A2XG7255404,Sandy Sansing,Kia,11800.0,34884.0,Soul,13500.0,2016,7441
1G1JD5SH9J4115501,Sandy Sansing,Chevrolet,,32229.0,Sonic,13500.0,2018,8966
3FADP4BJ5KM151173,Sandy Sansing,Ford,14737.5,28167.0,Fiesta,13500.0,2019,9793
KL4CJBSB9EB611378,Sandy Sansing,Buick,,44018.0,Encore,13580.0,2014,6742
1C3CCCAB3GN113299,Sandy Sansing,Chrysler,13587.5,122436.0,200,13690.0,2016,7450
3N1CN7AP1KL827890,Sandy Sansing,Nissan,2600.0,13933.0,Versa Sedan,13800.0,2019,0
5J6RM3H77DL046258,Sandy Sansing,Honda,13417.5,100734.0,CR-V,13850.0,2013,6571
3FA6P0LU4HR223261,Sandy Sansing,Ford,16731.666666666668,95660.0,Fusion,13900.0,2017,7623
KL4CJCSB5FB122175,Sandy Sansing,Buick,12150.0,86747.0,Encore,13902.0,2015,7040
5TDKK3DC8ES427889,Sandy Sansing,Toyota,15050.0,137480.0,Sienna,13989.0,2014,6824
3D7KR28C95G778279,Sandy Sansing,Dodge,7800.0,139577.0,Ram 2500,13991.0,2005,3971
