VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
5N1AR2MN2EC628381,Allan Turner,Nissan,94980.0,Pathfinder,14949,2014,6705,12778.571428571433
1C4PJLDB4EW293348,Allan Turner,Jeep,69514.0,Cherokee,14998,2014,6679,12185.714285714286
KM8K12AA3KU247075,Allan Turner,Hyundai,35829.0,Kona,14998,2019,9277,22073.07692307692
KM8K12AA7KU259178,Allan Turner,Hyundai,34490.0,Kona,14999,2019,9277,22073.07692307692
5NPE34AF2JH656812,Allan Turner,Hyundai,88371.0,Sonata,15068,2018,8220,19606.666666666668
5NPD84LF2JH219967,Allan Turner,Hyundai,42101.0,Elantra,15086,2018,8280,14831.25
3VWDB7AJ8HM226935,Allan Turner,Volkswagen,37541.0,Jetta,15104,2017,7777,14900.0
5NPE24AF9HH566165,Allan Turner,Hyundai,32709.0,Sonata,15324,2017,7737,17156.81818181818
3GNCJKSB8KL188624,Allan Turner,Chevrolet,37489.0,Trax,15403,2019,9670,17854.166666666668
1G1BE5SM0J7241369,Allan Turner,Chevrolet,26455.0,Cruze,15497,2018,9033,14075.0
5NPD84LF6HH089640,Allan Turner,Hyundai,4507.0,Elantra,15509,2017,7556,13708.333333333336
1G1BG5SM9G7308795,Allan Turner,Chevrolet,45865.0,Cruze,15557,2016,7378,11487.5
3G1BE6SM3JS653373,Allan Turner,Chevrolet,30056.0,Cruze,15584,2018,9033,14075.0
5NPD74LFXKH432315,Allan Turner,Hyundai,23218.0,Elantra,15618,2019,9724,16163.636363636364
KM8K12AA0KU251102,Allan Turner,Hyundai,31910.0,Kona,15699,2019,9277,22073.07692307692
4T1BF1FK1HU690220,Allan Turner,Toyota,81690.0,Camry,15754,2017,7762,18830.55555555556
JN1BJ1CR2KW334975,Allan Turner,Nissan,30818.0,Rogue Sport,15775,2019,9316,19329.166666666668
JN1BJ1CR7JW283682,Allan Turner,Nissan,26998.0,Rogue Sport,15841,2018,8480,17720.833333333332
3C4PDCAB2JT535906,Allan Turner,Dodge,27678.0,Journey,15883,2018,8676,17828.125
1GNSCCE0XDR100318,Allan Turner,Chevrolet,166913.0,Tahoe,15887,2013,6429,17587.5
5NPE24AF5JH622897,Allan Turner,Hyundai,44857.0,Sonata,15936,2018,8220,19606.666666666668
