,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
74,Pete Moore,Hyundai,Sonata,2018,67412,21995,5NPE34AF2JH620005
75,Pete Moore,Cadillac,SRX,2015,82358,21995,3GYFNBE39FS523295
76,Pete Moore,Hyundai,Sonata,2017,67808,21995,5NPE34AF4HH593576
77,Pete Moore,MINI,Clubman,2018,40811,21995,WMWLN5C55J2E34276
78,Pete Moore,BMW,Z4,2011,45226,21995,WBALM5C53BE378144
79,Pete Moore,Volkswagen,Passat,2017,42419,21995,1VWDT7A31HC066820
80,Pete Moore,Volkswagen,Jetta,2021,8476,21995,3VWC57BU0MM012088
81,Pete Moore,Volkswagen,Jetta,2019,86867,21995,3VWG57BU9KM008345
82,Pete Moore,Honda,HR-V,2018,39290,21995,3CZRU5H52JM712270
83,Pete Moore,Mitsubishi,Outlander,2019,43784,21995,JA4AD2A34KZ051541
84,Pete Moore,Kia,Optima,2019,50234,21995,5XXGT4L38KG334832
85,Pete Moore,Ford,Escape,2018,29119,21995,1FMCU0GD1JUA53354
86,Pete Moore,Chevrolet,Trax,2021,1447,22995,KL7CJKSB3MB316097
87,Pete Moore,Volvo,XC60,2017,86029,22995,YV449MRU4H2024092
88,Pete Moore,Honda,Civic Coupe,2017,61906,22995,2HGFC3B37HH362331
89,Pete Moore,Volkswagen,Jetta,2021,3372,22995,3VWC57BU2MM013789
90,Pete Moore,FIAT,500X,2018,16256,22995,ZFBCFXDBXJP719221
91,Pete Moore,Volkswagen,Golf,2020,3669,22995,3VWG57AU5LM015313
92,Pete Moore,Honda,Civic Sedan,2018,46553,22995,2HGFC2F70JH533742
93,Pete Moore,Nissan,Altima,2018,34803,22995,1N4AL3AP3JC110202
94,Pete Moore,Hyundai,Elantra,2020,10118,23775,KMHD84LF3LU899995
95,Pete Moore,Honda,Accord Sedan,2016,45320,23995,1HGCR2F74GA246333
96,Pete Moore,Chevrolet,Malibu,2020,40309,23995,1G1ZB5ST2LF030830
97,Pete Moore,Ford,EcoSport,2018,17913,23995,MAJ3P1TE9JC185306
98,Pete Moore,Volkswagen,Atlas,2018,117174,23995,1V2HR2CA2JC503293
99,Pete Moore,Ford,Explorer,2017,56686,23995,1FM5K7B83HGE27487
100,Pete Moore,Chevrolet,Bolt EV,2017,28919,23995,1G1FX6S02H4141073
101,Pete Moore,Dodge,Journey,2020,26696,23995,3C4PDCAB6LT249253
102,Pete Moore,Ford,Expedition,2017,149327,23995,1FMJU1KT7HEA06216
103,Pete Moore,Nissan,Murano,2015,59441,24995,5N1AZ2MH5FN266112
104,Pete Moore,Hyundai,Elantra GT,2020,8415,24995,KMHH35LE0LU139259
105,Pete Moore,Honda,CR-V,2016,54394,24995,5J6RM3H91GL015271
106,Pete Moore,Volkswagen,Jetta,2019,42435,24995,3VWG57BU2KM008252
107,Pete Moore,Nissan,Rogue,2018,52101,24995,JN8AT2MT0JW457521
108,Pete Moore,Subaru,Outback,2017,96654,24995,4S4BSETC0H3214238
109,Pete Moore,Nissan,Rogue,2019,42101,24995,5N1AT2MV3KC831857
110,Pete Moore,Kia,Optima,2019,21814,24995,5XXGT4L33KG286074
111,Pete Moore,Nissan,Kicks,2018,3368,24995,3N1CP5CU5JL511375
112,Pete Moore,Honda,Civic Sedan,2019,26794,24995,JHMFC1F39KX011077
113,Pete Moore,Chevrolet,Trailblazer,2022,0,25060,KL79MTSL6NB037955
114,Pete Moore,Mazda,Mazda3 4-Door,2018,26159,25995,3MZBN1W34JM251097
115,Pete Moore,Nissan,Rogue Sport,2020,43191,25995,JN1BJ1CV0LW250295
116,Pete Moore,Mitsubishi,Outlander,2020,57511,25995,JA4AZ3A32LZ017963
117,Pete Moore,INFINITI,QX50,2017,51578,25995,JN1BJ0RRXHM409539
118,Pete Moore,Jeep,Cherokee,2019,40880,25995,1C4PJMLB7KD212292
119,Pete Moore,Toyota,Camry,2019,31221,26975,4T1B11HK7KU277320
120,Pete Moore,Volkswagen,Tiguan,2020,6858,26995,3VV1B7AX0LM010940
121,Pete Moore,Ram,3500,2018,122817,26995,3C63R2AJ7JG318532
122,Pete Moore,Kia,Sorento,2020,47259,26995,5XYPG4A57LG670087
123,Pete Moore,Chevrolet,Malibu,2021,19183,26995,1G1ZD5ST2MF051673
124,Pete Moore,Chevrolet,Equinox,2020,45672,26995,2GNAXUEV7L6229371
125,Pete Moore,Kia,Sportage,2017,49750,26995,KNDPR3A61H7096796
126,Pete Moore,Dodge,Grand Caravan,2019,55274,26995,2C4RDGEG9KR676174
127,Pete Moore,Dodge,Grand Caravan,2019,29871,26995,2C4RDGCG0KR529406
128,Pete Moore,GMC,Terrain,2019,64791,26995,3GKALPEX3KL268559
129,Pete Moore,Chevrolet,Bolt EV,2019,28775,26995,1G1FZ6S01K4100631
130,Pete Moore,Nissan,Altima,2019,46189,26995,1N4BL4CV6KC114803
131,Pete Moore,Ford,Explorer,2017,106259,26995,1FM5K7F85HGC23381
132,Pete Moore,Jeep,Renegade,2017,25947,27995,ZACCJBDB3HPF71201
133,Pete Moore,Ford,F-150,2019,56321,27995,1FTMF1C53KKD38836
134,Pete Moore,Jaguar,XE,2017,30603,27995,SAJAD4BV9HA961423
135,Pete Moore,Hyundai,Tucson,2021,13894,27995,KM8J23A45MU302816
136,Pete Moore,Jeep,Compass,2019,11505,27995,3C4NJCCB7KT615832
137,Pete Moore,GMC,Terrain,2019,36360,27995,3GKALMEV3KL203188
138,Pete Moore,Jeep,Grand Cherokee,2016,78900,27995,1C4RJFBG5GC357572
139,Pete Moore,Honda,Accord Sedan,2018,27226,27995,1HGCV1F33JA167388
140,Pete Moore,Chevrolet,Silverado 1500,2020,30211,28795,3GCNWAEF5LG251796
141,Pete Moore,Chevrolet,Silverado 1500,2020,35231,28890,3GCNWAEF6LG316462
142,Pete Moore,Volkswagen,Tiguan,2019,28353,28995,3VV3B7AX5KM137920
143,Pete Moore,Nissan,Pathfinder,2020,46672,28995,5N1DR2BM5LC616763
144,Pete Moore,Nissan,Frontier,2019,34401,28995,1N6AD0ER8KN720343
145,Pete Moore,Chevrolet,Silverado 1500,2020,13432,28995,3GCNWAEF3LG332070
146,Pete Moore,Chevrolet,Tahoe,2015,153826,28995,1GNSCBKC2FR501910
147,Pete Moore,Ram,1500,2018,72492,29575,1C6RR6FG0JS265891
148,Pete Moore,Chevrolet,Silverado 1500,2021,0,29755,3GCNWAEK6MG407343
149,Pete Moore,Honda,CR-V,2017,53405,29995,5J6RW1H84HL012579
150,Pete Moore,Ford,Flex,2019,54682,29995,2FMGK5C88KBA10277
151,Pete Moore,Dodge,Grand Caravan,2020,50613,29995,2C4RDGEG2LR169604
152,Pete Moore,Chevrolet,Silverado 1500,2020,26751,29995,3GCNWAEF1LG258888
153,Pete Moore,Chevrolet,Silverado 1500,2020,36340,29995,3GCNWAEF5LG230043
154,Pete Moore,Ram,ProMaster Cargo Van,2019,85401,29995,3C6TRVBG9KE533380
155,Pete Moore,Volkswagen,Atlas,2018,70838,29995,1V2DR2CA2JC506550
156,Pete Moore,Chevrolet,Colorado,2022,0,30750,1GCGSBEN5N1108463
157,Pete Moore,Chevrolet,Colorado,2022,0,30750,1GCGSBEN5N1108446
158,Pete Moore,Chevrolet,Colorado,2022,0,30750,1GCGSBEN7N1108500
159,Pete Moore,Chevrolet,Silverado 1500,2020,20094,30989,3GCNWAEF4LG290993
160,Pete Moore,Chevrolet,Silverado 1500,2020,17185,30989,3GCNWAEF0LG256579
161,Pete Moore,Mazda,CX-5,2018,26300,30995,JM3KFADM8J1441274
162,Pete Moore,Ford,F-150,2015,75261,30995,1FTEW1CPXFFC86514
163,Pete Moore,Buick,LaCrosse,2017,25456,30995,1G4ZR5SS3HU173424
164,Pete Moore,Mercedes-Benz,C-Class,2017,42433,30995,55SWF4JBXHU227692
165,Pete Moore,Ford,F-150,2014,115361,30995,1FTFW1ET3EFA37730
166,Pete Moore,Chevrolet,Equinox,2021,13433,31995,2GNAXSEV2M6105790
167,Pete Moore,Chevrolet,Equinox,2021,5370,31995,2GNAXSEV0M6105724
168,Pete Moore,Chevrolet,Silverado 1500,2020,26101,31995,3GCNWAEF7LG275629
169,Pete Moore,Chevrolet,Silverado 1500,2020,22323,31995,3GCNWAEF8LG248360
170,Pete Moore,Chevrolet,Silverado 1500,2018,77526,31995,3GCPCREC7JG501428
171,Pete Moore,Chevrolet,Silverado 1500,2020,18381,31995,3GCNWAEF7LG251802
172,Pete Moore,Chevrolet,Silverado 1500,2020,18269,31995,3GCNWAEF1LG232159
173,Pete Moore,Chevrolet,Silverado 1500,2020,12903,31995,3GCNWAEF1LG332598
174,Pete Moore,Chevrolet,Silverado 1500,2020,13998,31995,3GCNWAEFXLG265001
175,Pete Moore,GMC,Sierra 1500,2014,97367,31995,1GTV2VEC6EZ127354
176,Pete Moore,Dodge,Charger,2019,9361,31995,2C3CDXBG3KH748975
177,Pete Moore,Alfa Romeo,Giulia,2019,19163,31995,ZARFAMAN5K7601560
178,Pete Moore,Chevrolet,Colorado,2019,74144,31995,1GCGSCEN8K1132676
179,Pete Moore,Chevrolet,Silverado 1500,2017,87966,32575,3GCUKREH6HG462343
180,Pete Moore,Toyota,Tacoma,2015,91945,32975,5TFMU4FNXFX028713
181,Pete Moore,Alfa Romeo,Giulia,2018,18647,32975,ZARFAECN3J7570018
182,Pete Moore,Ford,F-150,2015,139115,32975,1FTEW1EF1FFB11511
183,Pete Moore,BMW,X1,2018,40421,32995,WBXHU7C3XJ5L06149
