,Dealer,Manufacturer,Mileage,Model,Price,VIN,Year,modelYearId,MarketValue
272,Pensacola Auto Dealers,Toyota,130000.0,Prius,4700,AAAAAAAAAAAAAAAAA,2007,4821,5375.0
273,Pensacola Auto Dealers,Ford,184000.0,F-150,4800,AAAAAAAAAAAAAAAAB,2008,5042,8150.78125
274,Pensacola Auto Dealers,Hyundai,90000.0,Veloster,5500,AAAAAAAAAAAAAAAAC,2013,6393,8716.666666666666
275,Pensacola Auto Dealers,Kia,140000.0,Soul,3900,AAAAAAAAAAAAAAAAD,2012,6121,6816.666666666667
276,Pensacola Auto Dealers,Hyundai,77000.0,Sonata,4900,AAAAAAAAAAAAAAAAE,2009,5166,5591.666666666667
277,Pensacola Auto Dealers,Ford,117000.0,F-150,4700,AAAAAAAAAAAAAAAAF,2005,4171,5501.086956521739
