,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
60,Allan Turner,Nissan,19329.166666666668,30818.0,Rogue Sport,15800,JN1BJ1CR2KW334975,2019,9316
61,Allan Turner,Chevrolet,17587.5,166913.0,Tahoe,15887,1GNSCCE0XDR100318,2013,6429
62,Allan Turner,BMW,14333.333333333334,59927.0,3 Series,15899,WBA3B5C51DF592598,2013,6482
63,Allan Turner,Hyundai,19606.666666666668,44857.0,Sonata,15936,5NPE24AF5JH622897,2018,8220
64,Allan Turner,Hyundai,17156.81818181818,65382.0,Sonata,15982,5NPE34AF8HH583438,2017,7737
65,Allan Turner,Hyundai,19606.666666666668,34923.0,Sonata,15987,5NPE24AF5JH616856,2018,8220
66,Allan Turner,Hyundai,16163.636363636364,24245.0,Elantra,15997,KMHD84LF3KU806391,2019,9724
67,Allan Turner,Chevrolet,2600.0,129225.0,Suburban 1500,15999,1GNSCJE07DR178026,2013,0
68,Allan Turner,Chevrolet,13439.285714285714,18115.0,Cruze,16116,1G1BE5SM8H7257247,2017,7612
69,Allan Turner,Chevrolet,16450.0,61386.0,Equinox,16131,2GNALCEK0H6248217,2017,7728
70,Allan Turner,Kia,17690.625,33025.0,Optima,16141,5XXGT4L35JG194432,2018,8227
71,Allan Turner,Hyundai,17362.5,48733.0,Tucson,16347,KM8J23A40HU566385,2017,7736
72,Allan Turner,Hyundai,17362.5,43858.0,Tucson,16405,KM8J23A48HU500442,2017,7736
73,Allan Turner,Hyundai,15242.5,24107.0,Sonata,16411,5NPE34AF8GH312054,2016,7516
74,Allan Turner,Jeep,16725.0,53870.0,Renegade,16415,ZACCJBBB3HPF62405,2017,7742
75,Allan Turner,Dodge,,88461.0,Charger,16474,2C3CDXCT8DH578191,2013,6515
76,Allan Turner,Toyota,,164710.0,Tacoma,16527,5TELU42N99Z656163,2009,5288
77,Allan Turner,Hyundai,21216.666666666668,70008.0,Santa Fe Sport,16536,5NMZU3LB8JH081499,2018,8278
78,Allan Turner,Nissan,19329.166666666668,34583.0,Rogue Sport,16658,JN1BJ1CRXKW626356,2019,9316
79,Allan Turner,Hyundai,15493.75,59709.0,Tucson,16674,KM8J33A22GU176401,2016,7327
