,Dealer,Manufacturer,Mileage,Model,Price,VIN,Year,modelYearId,MarketValue
61,Allan Turner,NISSAN,21691.0,Sentra,14899.0,3N1AB7AP2KY303683,2019,9762,16296.875
62,Allan Turner,NISSAN,94980.0,Pathfinder,14949.0,5N1AR2MN2EC628381,2014,6705,12778.571428571431
63,Allan Turner,JEEP,69514.0,Cherokee,14998.0,1C4PJLDB4EW293348,2014,6679,12185.714285714286
64,Allan Turner,HYUNDAI,35829.0,Kona,14998.0,KM8K12AA3KU247075,2019,9277,22073.07692307692
65,Allan Turner,HYUNDAI,34490.0,Kona,14999.0,KM8K12AA7KU259178,2019,9277,22073.07692307692
66,Allan Turner,HYUNDAI,88371.0,Sonata,15068.0,5NPE34AF2JH656812,2018,8220,19606.666666666668
67,Allan Turner,HYUNDAI,42101.0,Elantra,15086.0,5NPD84LF2JH219967,2018,8280,14831.25
68,Allan Turner,VOLKSWAGEN,37541.0,Jetta,15104.0,3VWDB7AJ8HM226935,2017,7777,14900.0
69,Allan Turner,HYUNDAI,32709.0,Sonata,15324.0,5NPE24AF9HH566165,2017,7737,17156.81818181818
70,Allan Turner,CHEVROLET,37489.0,Trax,15403.0,3GNCJKSB8KL188624,2019,9670,17854.166666666668
71,Allan Turner,CHEVROLET,26455.0,Cruze,15497.0,1G1BE5SM0J7241369,2018,9033,14075.0
72,Allan Turner,HYUNDAI,4507.0,Elantra,15509.0,5NPD84LF6HH089640,2017,7556,13708.333333333336
73,Allan Turner,CHEVROLET,45865.0,Cruze,15557.0,1G1BG5SM9G7308795,2016,7378,11487.5
74,Allan Turner,CHEVROLET,30056.0,Cruze,15584.0,3G1BE6SM3JS653373,2018,9033,14075.0
75,Allan Turner,HYUNDAI,23218.0,Elantra,15618.0,5NPD74LFXKH432315,2019,9724,16163.636363636364
76,Allan Turner,HYUNDAI,31910.0,Kona,15699.0,KM8K12AA0KU251102,2019,9277,22073.07692307692
77,Allan Turner,TOYOTA,81690.0,Camry,15754.0,4T1BF1FK1HU690220,2017,7762,18830.55555555556
78,Allan Turner,NISSAN,30818.0,Rogue Sport,15775.0,JN1BJ1CR2KW334975,2019,9316,19329.166666666668
79,Allan Turner,NISSAN,26998.0,Rogue Sport,15841.0,JN1BJ1CR7JW283682,2018,8480,17720.833333333332
80,Allan Turner,DODGE,27678.0,Journey,15883.0,3C4PDCAB2JT535906,2018,8676,17828.125
81,Allan Turner,CHEVROLET,166913.0,Tahoe,15887.0,1GNSCCE0XDR100318,2013,6429,17587.5
82,Allan Turner,HYUNDAI,44857.0,Sonata,15936.0,5NPE24AF5JH622897,2018,8220,19606.666666666668
83,Allan Turner,HYUNDAI,65382.0,Sonata,15982.0,5NPE34AF8HH583438,2017,7737,17156.81818181818
84,Allan Turner,BMW,59927.0,3 Series,15986.0,WBA3B5C51DF592598,2013,6482,14333.333333333336
85,Allan Turner,HYUNDAI,26017.0,Elantra,15987.0,KMHD84LFXJU704388,2018,8280,14831.25
86,Allan Turner,HYUNDAI,24245.0,Elantra,15997.0,KMHD84LF3KU806391,2019,9724,16163.636363636364
87,Allan Turner,KIA,33025.0,Optima,16141.0,5XXGT4L35JG194432,2018,8227,17690.625
88,Allan Turner,CHEVROLET,49572.0,Equinox,16215.0,2GNALBEK6H1548710,2017,7728,16450.0
89,Allan Turner,CHEVROLET,129225.0,Suburban 1500,16244.0,1GNSCJE07DR178026,2013,0,2600.0
90,Allan Turner,HYUNDAI,27703.0,Elantra,16311.0,5NPD84LF0HH116752,2017,7556,13708.333333333336
91,Allan Turner,CHEVROLET,76738.0,Impala,16320.0,2G1145S32G9142906,2016,7379,12352.777777777776
92,Allan Turner,MAZDA,68377.0,CX-5,16426.0,JM3KE2CY0G0832964,2016,7257,15941.666666666664
93,Allan Turner,CHEVROLET,61386.0,Equinox,16471.0,2GNALCEK0H6248217,2017,7728,16450.0
94,Allan Turner,HYUNDAI,46764.0,Santa Fe Sport,16548.0,5XYZU3LA9EG182400,2014,6931,12556.25
95,Allan Turner,HYUNDAI,59711.0,Tucson,16571.0,KM8J33A46HU421400,2017,7736,17362.5
96,Allan Turner,HYUNDAI,25004.0,Sonata,16588.0,5NPE24AF6JH703603,2018,8220,19606.666666666668
97,Allan Turner,JEEP,53870.0,Renegade,16642.0,ZACCJBBB3HPF62405,2017,7742,16725.0
98,Allan Turner,NISSAN,34583.0,Rogue Sport,16658.0,JN1BJ1CRXKW626356,2019,9316,19329.166666666668
99,Allan Turner,HYUNDAI,59709.0,Tucson,16674.0,KM8J33A22GU176401,2016,7327,15493.75
100,Allan Turner,VOLKSWAGEN,31393.0,Jetta,16691.0,3VWC57BU9KM075011,2019,9173,20202.08333333333
101,Allan Turner,HYUNDAI,28364.0,Sonata,16934.0,5NPE24AF9JH615743,2018,8220,19606.666666666668
102,Allan Turner,MERCEDES-BENZ,53288.0,C-Class,16989.0,WDDGF4HB1EG219533,2014,6874,17095.0
103,Allan Turner,CHEVROLET,33025.0,Malibu,17058.0,1G1ZE5ST4HF105574,2017,7802,16730.0
104,Allan Turner,CHEVROLET,7547.0,Cruze,17342.0,1G1BE5SM4H7187634,2017,7612,13439.285714285714
105,Allan Turner,BUICK,37773.0,Encore,17426.0,KL4CJASB7KB708200,2019,9287,18182.14285714286
106,Allan Turner,VOLKSWAGEN,41962.0,Tiguan,17448.0,WVGUV7AX4HK019668,2017,7775,16232.5
107,Allan Turner,HYUNDAI,51792.0,Tucson,17543.0,KM8J23A48KU912030,2019,9265,21233.928571428565
108,Allan Turner,HYUNDAI,19412.0,Sonata,17580.0,5NPE24AF3JH602597,2018,8220,19606.666666666668
109,Allan Turner,CHEVROLET,10185.0,Trax,17683.0,3GNCJLSB0KL385745,2019,9670,17854.166666666668
110,Allan Turner,HYUNDAI,47680.0,Tucson,17720.0,KM8J23A4XKU881346,2019,9265,21233.928571428565
111,Allan Turner,DODGE,35724.0,Grand Caravan,17779.0,2C4RDGCG3KR693328,2019,9639,18091.666666666668
112,Allan Turner,HYUNDAI,67755.0,Santa Fe,17835.0,KM8SN4HF3FU099355,2015,7120,15350.0
113,Allan Turner,TOYOTA,85061.0,Sienna,17986.0,5TDYK3DC4ES471415,2014,6824,15050.0
114,Allan Turner,KIA,29920.0,Sportage,17999.0,KNDPN3AC7H7293523,2017,7557,17645.833333333332
115,Allan Turner,CHEVROLET,40750.0,Equinox,18015.0,3GNAXJEV9JS556643,2018,7991,19556.666666666668
116,Allan Turner,FORD,88764.0,Mustang,18037.0,1FATP8EMXG5290785,2016,7502,24866.66666666667
117,Allan Turner,HYUNDAI,19572.0,Tucson,18141.0,KM8J33A25GU118668,2016,7327,15493.75
118,Allan Turner,JEEP,101125.0,Grand Cherokee,18188.0,1C4RJFBG7EC233638,2014,6659,18486.11111111111
119,Allan Turner,CHEVROLET,8954.0,Malibu,18219.0,1G1ZB5ST0LF011872,2020,0,2600.0
120,Allan Turner,CHEVROLET,52373.0,Traverse,18391.0,1GNKRFED7HJ307899,2017,7732,22325.0
121,Allan Turner,HONDA,60460.0,Accord,18462.0,1HGCR2F82GA105723,2016,7435,17542.5
122,Allan Turner,DODGE,67327.0,Challenger,18891.0,2B3CJ5DT7AH319194,2010,5573,14608.333333333336
123,Allan Turner,CHEVROLET,22675.0,Malibu,18900.0,1G1ZD5ST8JF108843,2018,8634,17780.0
124,Allan Turner,CADILLAC,33161.0,ATS,18998.0,1G6AA5RA6G0167289,2016,7265,23610.9375
125,Allan Turner,HYUNDAI,21105.0,Kona,19263.0,KM8K33A52JU174220,2018,8433,18590.625
126,Allan Turner,CHEVROLET,25936.0,Malibu,19275.0,1G1ZG5ST8KF179887,2019,9318,19395.83333333333
127,Allan Turner,GMC,82693.0,Terrain,19310.0,3GKALWEU9JL307461,2018,8056,20995.454545454544
128,Allan Turner,MITSUBISHI,35003.0,Outlander,19357.0,JA4AZ3A36KZ045618,2019,9859,19643.18181818182
129,Allan Turner,HYUNDAI,31104.0,Santa Fe Sport,19509.0,5XYZU3LB3JG541775,2018,8278,21216.666666666668
130,Allan Turner,HONDA,44498.0,Accord,19588.0,1HGCR2F57HA180182,2017,7573,19629.166666666668
131,Allan Turner,HONDA,5566.0,HR-V,19697.0,3CZRU5H3XKM724344,2019,9623,20811.11111111111
132,Allan Turner,CHEVROLET,30264.0,Malibu,19743.0,1G1ZH5SX8HF219524,2017,7802,16730.0
133,Allan Turner,JEEP,115001.0,Wrangler,19779.0,1J4HB5H11AL142780,2010,5597,15781.25
134,Allan Turner,DODGE,12869.0,Grand Caravan,19899.0,2C4RDGCG7JR157836,2018,8950,16541.666666666668
135,Allan Turner,FORD,35808.0,Edge,19998.0,2FMPK4K91GBB21989,2016,7504,18435.714285714286
136,Allan Turner,FORD,8986.0,Escape,20215.0,1FMCU9GD2JUB27112,2018,8673,18017.85714285714
137,Allan Turner,CHEVROLET,12038.0,Equinox,20276.0,3GNAXHEV7KS622889,2019,9616,21620.0
138,Allan Turner,BMW,70582.0,5 Series,20464.0,WBA5A5C52GG350557,2016,7436,22293.75
139,Allan Turner,HYUNDAI,24217.0,Tucson,20494.0,KM8J33A49JU671123,2018,8697,18639.58333333333
140,Allan Turner,HYUNDAI,65015.0,Santa Fe Sport,20958.0,5XYZW4LA1HG482453,2017,7632,19150.0
141,Allan Turner,CHEVROLET,13064.0,Equinox,20999.0,2GNAXKEV5K6305575,2019,9616,21620.0
142,Allan Turner,HYUNDAI,29910.0,Santa Fe Sport,21034.0,5XYZU3LBXJG550201,2018,8278,21216.666666666668
143,Allan Turner,HYUNDAI,39651.0,Sonata,21118.0,5NPE34AB3JH614498,2018,8220,19606.666666666668
144,Allan Turner,VOLKSWAGEN,24314.0,Tiguan,21155.0,3VV3B7AX0JM000933,2018,8093,20953.125
145,Allan Turner,HONDA,47485.0,Civic,21394.0,2HGFC1E52HH707475,2017,7662,18696.153846153848
146,Allan Turner,DODGE,55467.0,Charger,21461.0,2C3CDXHGXHH643480,2017,7715,31353.125
147,Allan Turner,HYUNDAI,7445.0,Tucson,21470.0,KM8J33A45KU041651,2019,9265,21233.928571428565
148,Allan Turner,HYUNDAI,61463.0,Sonata Hybrid,21644.0,KMHE34L1XHA044601,2017,0,2600.0
149,Allan Turner,NISSAN,42601.0,Rogue,21724.0,5N1AT2MT3KC739629,2019,9761,20437.5
150,Allan Turner,GMC,39948.0,Terrain,21920.0,2GKFLPE34H6216910,2017,7830,18433.33333333333
151,Allan Turner,CHEVROLET,29310.0,Equinox,22268.0,3GNAXMEVXJS627740,2018,7991,19556.666666666668
152,Allan Turner,HONDA,19196.0,Accord,22394.0,1HGCV1F12JA197982,2018,8513,24819.11764705882
153,Allan Turner,JEEP,34942.0,Compass,22707.0,3C4NJDDB1KT695357,2019,9681,20128.571428571428
154,Allan Turner,CHEVROLET,23656.0,Equinox,22795.0,2GNAXUEV0K6230098,2019,9616,21620.0
155,Allan Turner,HYUNDAI,34943.0,Genesis,23213.0,KMHGN4JE8GU107829,2016,7531,20750.0
156,Allan Turner,HYUNDAI,3398.0,Kona,23448.0,KM8K53A53JU094404,2018,8433,18590.625
157,Allan Turner,CHEVROLET,21143.0,Equinox,23488.0,2GNAXPEXXK6279179,2019,9616,21620.0
158,Allan Turner,FORD,60462.0,Mustang,23703.0,1FA6P8CF2F5385194,2015,7021,22141.66666666667
159,Allan Turner,HYUNDAI,5458.0,Tucson,23789.0,KM8J33AL1LU144171,2020,0,2600.0
160,Allan Turner,SUBARU,7590.0,Crosstrek,23799.0,JF2GTABC1L8227983,2020,0,2600.0
161,Allan Turner,CHEVROLET,69946.0,Corvette,23979.0,1G1YY25W985122996,2008,5015,22983.33333333333
162,Allan Turner,GMC,33200.0,Canyon,23987.0,1GTH5BEA1J1259402,2018,8877,29215.0
163,Allan Turner,GMC,44991.0,Terrain,24147.0,3GKALVEV3LL127818,2020,0,2600.0
164,Allan Turner,HYUNDAI,51385.0,Genesis,24184.0,KMHGN4JE7GU115047,2016,7531,20750.0
165,Allan Turner,CHRYSLER,40922.0,Pacifica,24369.0,2C4RC1BGXJR143155,2018,8975,23135.0
166,Allan Turner,HYUNDAI,8837.0,Santa Fe,24385.0,5NMS23AD3LH151277,2020,0,2600.0
167,Allan Turner,HYUNDAI,34390.0,Genesis,24551.0,KMHGN4JF9FU020965,2015,6964,18175.0
168,Allan Turner,HYUNDAI,8604.0,Santa Fe,24596.0,5NMS23AD8LH154742,2020,0,2600.0
169,Allan Turner,FORD,22918.0,Mustang,24653.0,1FA6P8TH8K5166154,2019,9185,33497.22222222222
170,Allan Turner,JEEP,35778.0,Grand Cherokee,24878.0,1C4RJEAG8HC610526,2017,7671,29567.5
171,Allan Turner,CHEVROLET,21531.0,Colorado,24926.0,1GCHSBEN7J1282260,2018,8873,28238.09523809524
172,Allan Turner,FORD,52019.0,Explorer,25200.0,1FM5K7D82KGA04632,2019,9729,30453.125
173,Allan Turner,DODGE,18631.0,Charger,25339.0,2C3CDXBG3KH700134,2019,9622,26425.0
174,Allan Turner,FORD,44969.0,F-250SD,25613.0,1FT7X2A61GEB69305,2016,0,2600.0
175,Allan Turner,FORD,24101.0,Explorer,25997.0,1FM5K7DH6JGC26878,2018,8233,28668.75
176,Allan Turner,CHEVROLET,121958.0,Tahoe,26128.0,1GNSCBKC6FR535025,2015,6950,28716.66666666667
177,Allan Turner,FORD,31615.0,Mustang,26170.0,1FATP8UH3K5162322,2019,9185,33497.22222222222
178,Allan Turner,LEXUS,53610.0,RX,26255.0,2T2BK1BA3FC335486,2015,7014,22033.33333333333
179,Allan Turner,KIA,42148.0,Sorento,26607.0,5XYPK4A55JG369779,2018,8653,23394.230769230766
180,Allan Turner,CHEVROLET,29540.0,Camaro,26776.0,1G1FB1RS5K0148087,2019,9567,36267.307692307695
181,Allan Turner,TOYOTA,78493.0,FJ Cruiser,26852.0,JTEZU4BF0DK013101,2013,6554,23500.0
182,Allan Turner,FORD,26195.0,Mustang,26997.0,1FATP8UH7K5161593,2019,9185,33497.22222222222
183,Allan Turner,FORD,29800.0,Explorer,27487.0,1FM5K7D83JGA40117,2018,8233,28668.75
184,Allan Turner,JEEP,50961.0,Wrangler,28562.0,1C4BJWCG8EL144564,2014,6903,23700.0
185,Allan Turner,KIA,28580.0,Sedona,28810.0,KNDME5C10J6356371,2018,8991,22085.0
186,Allan Turner,FORD,10300.0,Mustang,28998.0,1FA6P8TH7K5105717,2019,9185,33497.22222222222
187,Allan Turner,GMC,40202.0,Acadia,28998.0,1GKKNWLS2JZ151367,2018,8876,25829.545454545456
188,Allan Turner,FORD,69101.0,F-150,28998.0,1FTFW1EG2GFC10370,2016,7500,28922.727272727272
189,Allan Turner,JEEP,32277.0,Grand Cherokee,29095.0,1C4RJEAG7JC289228,2018,8228,35447.72727272727
190,Allan Turner,HONDA,48001.0,Pilot,29299.0,5FNYF5H50JB010884,2018,8516,29951.470588235294
191,Allan Turner,CHEVROLET,32698.0,Traverse,29480.0,1GNERGKW3JJ128242,2018,8072,28477.272727272728
192,Allan Turner,RAM,52580.0,1500,29735.0,1C6RR7GT7GS349183,2016,7543,25197.580645161288
193,Allan Turner,CHEVROLET,77383.0,Suburban,29944.0,1GNSCGEC3GR273765,2016,7377,36825.0
194,Allan Turner,LINCOLN,8514.0,MKC,29966.0,5LMCJ2C93KUL07893,2019,9119,29709.375
195,Allan Turner,HONDA,4682.0,Accord,29995.0,1HGCV1F50LA005626,2020,0,2600.0
196,Allan Turner,CHEVROLET,3009.0,Colorado,29998.0,1GCGSCEN8L1227370,2020,0,2600.0
197,Allan Turner,CHEVROLET,33368.0,Colorado,30118.0,1GCGTCEN3K1201674,2019,9573,29688.09523809524
198,Allan Turner,HONDA,22402.0,Pilot,30217.0,5FNYF6H78HB089724,2017,7799,26385.29411764706
199,Allan Turner,HYUNDAI,1497.0,Sonata,30230.0,5NPEH4J2XLH014470,2020,0,2600.0
200,Allan Turner,TOYOTA,17871.0,Camry,30568.0,4T1B61HK6KU785439,2019,9771,25032.5
201,Allan Turner,NISSAN,9205.0,Pathfinder,31085.0,5N1DR2MN1KC609622,2019,9760,25653.125
202,Allan Turner,FORD,3803.0,Ranger,31360.0,1FTER4EH7KLA53507,2019,9180,29863.46153846154
203,Allan Turner,FORD,28027.0,F-150,31983.0,1FTEW1C47LFA25178,2020,0,2600.0
204,Allan Turner,RAM,32971.0,1500 Classic,32387.0,1C6RR6TT1KS694413,2019,9685,
205,Allan Turner,CHEVROLET,20301.0,Traverse,32540.0,1GNERGKW0KJ204422,2019,9319,32185.41666666667
206,Allan Turner,RAM,34233.0,1500 Classic,32764.0,1C6RR6TTXKS706882,2019,9685,
207,Allan Turner,TOYOTA,27015.0,4Runner,33213.0,JTEZU5JR8H5162717,2017,7766,31352.777777777777
208,Allan Turner,FORD,1142.0,Transit-350,33497.0,1FBAX2Y89LKA32562,2020,0,2600.0
209,Allan Turner,GMC,99514.0,Sierra 1500,33703.0,3GTU2NEC3HG193165,2017,7596,30288.888888888887
210,Allan Turner,GENESIS,28717.0,G80,33876.0,KMHGN4JF4HU173207,2017,7683,28116.66666666667
211,Allan Turner,TOYOTA,43298.0,4Runner,34185.0,JTEBU5JR8H5464364,2017,7766,31352.777777777777
212,Allan Turner,TOYOTA,7167.0,RAV4,34659.0,2T3N1RFV2KW045790,2019,9261,27750.0
213,Allan Turner,TOYOTA,15751.0,Highlander,34700.0,5TDKZRFH9KS552256,2019,9772,34261.76470588235
214,Allan Turner,FORD,85249.0,F-150,34994.0,1FTFW1EG4GFA02877,2016,7500,28922.727272727272
215,Allan Turner,TOYOTA,26062.0,Highlander,35167.0,5TDYZRFH8JS253060,2018,8993,30789.70588235294
216,Allan Turner,CHEVROLET,21102.0,Silverado 2500HD,35174.0,1GC2CVEG1GZ372374,2016,7509,
217,Allan Turner,VOLKSWAGEN,13385.0,Atlas,35202.0,1V2WR2CA9KC538583,2019,9779,31496.153846153848
218,Allan Turner,CHEVROLET,29088.0,Silverado 1500,35782.0,1GCVKREC3JZ114112,2018,8753,31433.796296296296
219,Allan Turner,GENESIS,2215.0,G70,36215.0,KMTG44LAXKU022714,2019,9053,35214.77272727273
220,Allan Turner,CHEVROLET,16329.0,4500HD LCF Diesel,36914.0,JALCDW166J7007923,2018,0,2600.0
221,Allan Turner,INFINITI,15133.0,QX50,36982.0,3PCAJ5M14KF118896,2019,9139,31912.5
222,Allan Turner,CHEVROLET,117064.0,Silverado 2500HD,37568.0,1GC1KVEY0HF156655,2017,7807,
223,Allan Turner,MERCEDES-BENZ,579.0,Sprinter 3500,38060.0,WDAPF4CD6KN025254,2019,0,2600.0
224,Allan Turner,NISSAN,55593.0,Titan XD,38234.0,1N6BA1F41JN548919,2018,8498,31242.361111111113
225,Allan Turner,NISSAN,39458.0,Armada,38321.0,JN8AY2NC0H9508928,2017,7628,30779.16666666667
226,Allan Turner,TOYOTA,61161.0,Tundra,38552.0,5TFDW5F12HX664249,2017,7768,34186.11111111112
227,Allan Turner,CHEVROLET,11307.0,Blazer,38974.0,3GNKBERS9LS554615,2020,0,2600.0
228,Allan Turner,GMC,61771.0,Yukon,39045.0,1GKS2CKJ0FR160589,2015,6948,29250.0
229,Allan Turner,CHEVROLET,33260.0,Silverado 1500,39407.0,3GCUKREC3JG320283,2018,8753,31433.796296296296
230,Allan Turner,CHEVROLET,20608.0,Silverado 1500,40175.0,1GCPWDED3KZ133401,2019,9174,39582.738095238084
231,Allan Turner,CHEVROLET,4894.0,Silverado 1500,40679.0,1GCPWCED7LZ192530,2020,0,2600.0
232,Allan Turner,GMC,64009.0,Sierra 1500,40988.0,3GTU2NEC7JG202715,2018,8878,32937.5
233,Allan Turner,JEEP,1993.0,Wrangler,40999.0,1C4HJXDG0KW610626,2019,9684,39045.0
234,Allan Turner,CHEVROLET,38395.0,Silverado 1500,41184.0,3GCUKSEC5JG377625,2018,8753,31433.796296296296
235,Allan Turner,FORD,49783.0,Expedition,41377.0,1FMJU1KTXJEA53357,2018,8135,42042.1875
236,Allan Turner,CHEVROLET,9051.0,Silverado 1500,41499.0,1GCPWDED8KZ125634,2019,9174,39582.738095238084
237,Allan Turner,FORD,20568.0,F-150,41531.0,1FTEW1EF0GFA57278,2016,7500,28922.727272727272
238,Allan Turner,FORD,20017.0,F-150,43006.0,1FTEW1E52JFA25415,2018,8096,34787.5
239,Allan Turner,CHEVROLET,15879.0,Silverado 1500,44419.0,3GCUKSEC2JG608772,2018,8753,31433.796296296296
240,Allan Turner,INFINITI,33006.0,QX80,44545.0,JN8AZ2NE1H9159549,2017,7837,39290.0
241,Allan Turner,GMC,34138.0,Sierra 1500,46087.0,3GTU2PEJ4HG385379,2017,7596,30288.888888888887
242,Allan Turner,CHEVROLET,33945.0,Suburban,46515.0,1GNSCHKC4LR168706,2020,0,2600.0
